id	proteinId	PFAM	short_name	long_name	Evalue	start	end
192	Beaba1|5831	PF04263	TPK_catalytic	Thiamin pyrophosphokinase, catalytic domain	4.7e-28	40	147
193	Beaba1|5831	PF04265	TPK_B1_binding	Thiamin pyrophosphokinase, vitamin B1 binding domain	1.7e-23	175	246
194	Beaba1|5832	PF12352	V-SNARE_C	Snare region anchored in the vesicle membrane C-terminus	1.6e-13	169	229
195	Beaba1|5833	PF07690	MFS_1	Major Facilitator Superfamily	4.5e-50	60	469
196	Beaba1|5833	PF00083	Sugar_tr	Sugar (and other) transporter	2.5e-10	74	241
197	Beaba1|5833	PF06609	TRI12	Fungal trichothecene efflux pump (TRI12)	6.1e-08	88	234
198	Beaba1|5834	PF00067	p450	Cytochrome P450	8.6e-48	81	482
199	Beaba1|5835	PF00854	PTR2	POT family	1.9e-73	169	560
200	Beaba1|5836	PF00303	Thymidylat_synt	Thymidylate synthase	3.4e-104	11	332
201	Beaba1|5837	PF01546	Peptidase_M20	Peptidase family M20/M25/M40	7.3e-22	498	801
202	Beaba1|5837	PF00400	WD40	WD domain, G-beta repeat	0.0065	72	107
203	Beaba1|5837	PF04389	Peptidase_M28	Peptidase family M28	5.3e-05	489	594
204	Beaba1|5838	PF02836	Glyco_hydro_2_C	Glycosyl hydrolases family 2, TIM barrel domain	3.3e-96	325	604
205	Beaba1|5838	PF02929	Bgal_small_N	Beta galactosidase small chain	2.3e-59	741	1013
206	Beaba1|5838	PF02837	Glyco_hydro_2_N	Glycosyl hydrolases family 2, sugar binding domain	1.8e-38	51	221
207	Beaba1|5838	PF16353	DUF4981	Domain of unknown function(DUF4981)	3.9e-22	613	706
208	Beaba1|5838	PF00703	Glyco_hydro_2	Glycosyl hydrolases family 2	5.6e-13	226	319
209	Beaba1|5839	PF07690	MFS_1	Major Facilitator Superfamily	4e-09	118	466
210	Beaba1|5840	PF15288	zf-CCHC_6	Zinc knuckle	2.2e-06	88	118
211	Beaba1|5841	PF00664	ABC_membrane	ABC transporter transmembrane region	3.9e-10	259	525
212	Beaba1|5841	PF00664	ABC_membrane	ABC transporter transmembrane region	7.4e-26	919	1129
213	Beaba1|5841	PF00005	ABC_tran	ABC transporter	4.9e-20	618	753
214	Beaba1|5843	PF03194	LUC7	LUC7 N_terminus	6.4e-67	4	235
215	Beaba1|5844	PF04113	Gpi16	Gpi16 subunit, GPI transamidase component	5.1e-238	9	596
216	Beaba1|5845	PF00202	Aminotran_3	Aminotransferase class-III	1.4e-89	34	457
217	Beaba1|5846	PF07690	MFS_1	Major Facilitator Superfamily	9.7e-15	54	305
218	Beaba1|5846	PF04082	Fungal_trans	Fungal specific transcription factor domain	1.4e-09	550	717
219	Beaba1|5847	PF04616	Glyco_hydro_43	Glycosyl hydrolases family 43	4.2e-49	20	302
220	Beaba1|5848	PF00399	PIR	Yeast PIR protein repeat	3.2e-07	286	300
221	Beaba1|5848	PF00399	PIR	Yeast PIR protein repeat	2.4e-06	304	319
222	Beaba1|5848	PF00399	PIR	Yeast PIR protein repeat	2.6e-06	321	337
223	Beaba1|5848	PF00399	PIR	Yeast PIR protein repeat	1.1e-05	339	353
224	Beaba1|5848	PF00399	PIR	Yeast PIR protein repeat	2.8e-05	357	371
225	Beaba1|5849	PF06220	zf-U1	U1 zinc finger	1.2e-07	9	42
226	Beaba1|585	PF02466	Tim17	Tim17/Tim22/Tim23/Pmp24 family	8.2e-12	21	136
227	Beaba1|5850	PF01738	DLH	Dienelactone hydrolase family	1.2e-25	31	249
228	Beaba1|5851	PF05346	DUF747	Eukaryotic membrane protein family	8.7e-122	544	956
229	Beaba1|5852	PF13513	HEAT_EZ	HEAT-like repeat	3.8e-06	359	409
230	Beaba1|5853	PF01476	LysM	LysM domain	5.4e-12	127	169
231	Beaba1|5854	PF01735	PLA2_B	Lysophospholipase catalytic domain	1.1e-178	139	620
232	Beaba1|5855	PF11951	Fungal_trans_2	Fungal specific transcription factor domain	0.00013	29	118
233	Beaba1|5857	PF00106	adh_short	short chain dehydrogenase	4.7e-43	122	295
234	Beaba1|5857	PF13561	adh_short_C2	Enoyl-(Acyl carrier protein) reductase	5.1e-34	122	296
235	Beaba1|5857	PF08659	KR	KR domain	1.6e-08	122	270
236	Beaba1|5858	PF01532	Glyco_hydro_47	Glycosyl hydrolase family 47	5.3e-172	117	592
237	Beaba1|586	PF14792	DNA_pol_B_palm	DNA polymerase beta palm	1.7e-29	616	735
238	Beaba1|586	PF14791	DNA_pol_B_thumb	DNA polymerase beta thumb	2.3e-23	741	823
239	Beaba1|586	PF14716	HHH_8	Helix-hairpin-helix domain	5e-19	473	537
240	Beaba1|586	PF10391	DNA_pol_lambd_f	Fingers domain of DNA polymerase lambda	1.3e-15	564	613
241	Beaba1|5860	PF07944	Glyco_hydro_127	Beta-L-arabinofuranosidase, GH127	2.7e-17	293	577
242	Beaba1|5861	PF12756	zf-C2H2_2	C2H2 type zinc-finger (2 copies)	3.8e-29	212	307
243	Beaba1|5861	PF12171	zf-C2H2_jaz	Zinc-finger double-stranded RNA-binding	2.5e-06	85	108
244	Beaba1|5861	PF12874	zf-met	Zinc-finger of C2H2 type	1.4e-05	84	107
245	Beaba1|5862	PF00632	HECT	HECT-domain (ubiquitin-transferase)	3.4e-65	940	1255
246	Beaba1|5862	PF16558	AZUL	Amino-terminal Zinc-binding domain of ubiquitin ligase E3A	3.9e-23	79	143
247	Beaba1|5863	PF13532	2OG-FeII_Oxy_2	2OG-Fe(II) oxygenase superfamily	3.2e-30	45	249
248	Beaba1|5864	PF01926	MMR_HSR1	50S ribosome-binding GTPase	3.3e-14	118	263
249	Beaba1|5865	PF07967	zf-C3HC	C3HC zinc finger-like	2.6e-35	103	241
250	Beaba1|5865	PF08600	Rsm1	Rsm1-like	8.6e-26	283	381
251	Beaba1|5866	PF05022	SRP40_C	SRP40, C-terminal domain	4e-17	336	403
252	Beaba1|5867	PF00962	A_deaminase	Adenosine/AMP deaminase	5.2e-25	157	575
253	Beaba1|5868	PF00291	PALP	Pyridoxal-phosphate dependent enzyme	1.8e-42	17	333
254	Beaba1|5869	PF16507	BLM10_mid	Proteasome-substrate-size regulator, mid region	1.1e-193	385	912
255	Beaba1|5869	PF11919	DUF3437	Domain of unknown function (DUF3437)	8.9e-29	1869	1957
256	Beaba1|5869	PF16547	BLM10_N	Proteasome-substrate-size regulator, N-terminal	1.6e-19	32	99
257	Beaba1|5871	PF05347	Complex1_LYR	Complex 1 protein (LYR family)	3.2e-09	17	79
258	Beaba1|5872	PF00170	bZIP_1	bZIP transcription factor	5.5e-08	72	119
259	Beaba1|5873	PF01112	Asparaginase_2	Asparaginase	1.3e-16	76	148
260	Beaba1|5873	PF01112	Asparaginase_2	Asparaginase	6.4e-28	179	284
261	Beaba1|5874	PF00583	Acetyltransf_1	Acetyltransferase (GNAT) family	7.8e-11	46	182
262	Beaba1|5874	PF13673	Acetyltransf_10	Acetyltransferase (GNAT) domain	5e-08	128	187
263	Beaba1|5876	PF00083	Sugar_tr	Sugar (and other) transporter	1.4e-28	48	463
264	Beaba1|5876	PF07690	MFS_1	Major Facilitator Superfamily	2.7e-14	49	319
265	Beaba1|5877	PF03060	NMO	Nitronate monooxygenase	5e-48	10	330
266	Beaba1|5877	PF00478	IMPDH	IMP dehydrogenase / GMP reductase domain	8.8e-08	7	237
267	Beaba1|5878	PF01966	HD	HD domain	7.3e-06	36	106
268	Beaba1|5879	PF09286	Pro-kuma_activ	Pro-kumamolisin, activation domain	1.5e-40	39	172
269	Beaba1|588	PF11635	Med16	Mediator complex subunit 16	3.6e-82	153	945
270	Beaba1|2617	PF12796	Ank_2	Ankyrin repeats (3 copies)	1.3e-08	253	355
271	Beaba1|262	PF14413	Thg1C	Thg1 C terminal domain	2.4e-50	139	266
272	Beaba1|262	PF04446	Thg1	tRNAHis guanylyltransferase	6e-50	6	136
273	Beaba1|2620	PF12298	Bot1p	Eukaryotic mitochondrial regulator protein	6.2e-39	81	237
274	Beaba1|2621	PF00072	Response_reg	Response regulator receiver domain	3.8e-16	524	608
275	Beaba1|2622	PF07985	SRR1	SRR1	1.2e-12	75	150
276	Beaba1|2623	PF09747	DUF2052	Coiled-coil domain containing protein (DUF2052)	8.8e-11	44	117
277	Beaba1|2623	PF09747	DUF2052	Coiled-coil domain containing protein (DUF2052)	7.1e-12	115	183
278	Beaba1|2624	PF01764	Lipase_3	Lipase (class 3)	1.7e-15	752	918
279	Beaba1|2625	PF00583	Acetyltransf_1	Acetyltransferase (GNAT) family	1.3e-10	74	172
280	Beaba1|2625	PF13508	Acetyltransf_7	Acetyltransferase (GNAT) domain	1.8e-07	92	174
281	Beaba1|2625	PF13673	Acetyltransf_10	Acetyltransferase (GNAT) domain	2.5e-06	111	177
282	Beaba1|2628	PF06985	HET	Heterokaryon incompatibility protein (HET)	9.7e-06	189	275
283	Beaba1|2629	PF10528	GLEYA	GLEYA domain	1.5e-16	283	373
284	Beaba1|2629	PF07691	PA14	PA14 domain	1.5e-05	277	352
285	Beaba1|2630	PF00501	AMP-binding	AMP-binding enzyme	9.1e-68	492	887
286	Beaba1|2630	PF00501	AMP-binding	AMP-binding enzyme	3e-72	1567	1973
287	Beaba1|2630	PF00668	Condensation	Condensation domain	3.3e-80	1109	1535
