ProteinId.t1,Name,SC16a,CcL,CcD,PFAM annotation,GO annotation (terminal nodes only),KEGG annotation,SignalP/SmallSecretedProteins,Transcription factors,Transmembrane domains,MEROPS proteases,Manual annotations,Secondary metabolism,SC16a -> CcL: Up/Down,SC16a -> CcL: q value,"SC16a -> CcL: : q-value <= 0.05, fold change >= 2, and >= 1 sample with >= 4 expression value?",SC16a -> CcD: Up/Down,SC16a -> CcD: q value,"SC16a -> CcD: : q-value <= 0.05, fold change >= 2, and >= 1 sample with >= 4 expression value?",CcL -> CcD: Up/Down,CcL -> CcD: q value,"CcL -> CcD: : q-value <= 0.05, fold change >= 2, and >= 1 sample with >= 4 expression value?"
Ophio5|1089.t1,,25.5333,24.3817,20.2474,PF10021.4|DUF2263,,,,,,,,,Down,0.897773,No,Down,0.441582,No,Down,0.558622,No
Ophio5|109.t1,,7.4029,140.812,37.7653,,,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.000285532,Yes
Ophio5|1090.t1,,49.2839,47.5956,41.5316,PF12537.3|DUF3735;PF12430.3|ABA_GPCR,,,,,5,,,,Down,0.906506,No,Down,0.485065,No,Down,0.607192,No
Ophio5|1091.t1,,22.847,0,0,,,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,=,1,No
Ophio5|1092.t1,,8.67352,1.05695,1.38685,,,,,,,,,,Down,0.147909,No,Down,0.120631,No,Up,1,No
Ophio5|1093.t1,,8.8169,0.358448,2.62527,PF00082.17|Peptidase_S8;PF05922.11|Inhibitor_I9,GO:0043086|negative regulation of catalytic activity;GO:0042802|identical protein binding;GO:0006508|proteolysis;GO:0004252|serine-type endopeptidase activity,,SignalP: has predicted secretion signal,,,S08A,,,Down,0.00888371,Yes,Down,0.00903076,Yes,Up,0.0321833,No
Ophio5|1094.t1,,0.0519873,35.6999,35.7707,,,,SignalP: has predicted secretion signal,,,,,,Up,0.303357,No,Up,0.303357,No,Up,0.995048,No
Ophio5|1095.t1,,0,0.202983,1.0393,,,,,,,,,,Up,1,No,Up,1,No,Up,1,No
Ophio5|1096.t1,,25.0627,29.6892,26.3119,PF07993.7|NAD_binding_4,,,,,,,,,Up,0.539511,No,Up,0.878449,No,Down,0.671516,No
Ophio5|1097.t1,,82.1514,67.2088,92.4018,,,,,,,,,,Down,0.435678,No,Up,0.672565,No,Up,0.202267,No
Ophio5|1098.t1,,44.5658,50.0835,71.455,,,,,,,,,,Up,0.91034,No,Up,0.808972,No,Up,0.830056,No
Ophio5|1099.t1,,36.8677,13.4,15.9816,,,,,,,,,,Down,0.00357329,Yes,Down,0.011207,Yes,Up,0.678167,No
Ophio5|11.t1,,5.23662,3.22285,3.1653,,,,,,,,,,Down,0.590743,No,Down,0.538385,No,Down,0.945244,No
Ophio5|110.t1,,112.832,272.444,197.424,PF02466.14|Tim17,,,,,1,,,,Up,0.000285532,Yes,Up,0.00842804,No,Down,0.186032,No
Ophio5|1100.t1,,37.5617,12.8186,13.0304,,,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Up,0.968524,No
Ophio5|1101.t1,,63.2348,34.1855,31.8342,,,,,,7,,,,Down,0.00731372,No,Down,0.00262723,No,Down,0.792109,No
Ophio5|1102.t1,,4130.63,3341.31,4197.57,PF00076.17|RRM_1;PF14259.1|RRM_6;PF13893.1|RRM_5,GO:0003676|nucleic acid binding,,,,,,,,Down,0.491482,No,Up,0.966364,No,Up,0.455168,No
Ophio5|1103.t1,,69.9671,530.561,180.623,PF07690.11|MFS_1;PF07690.11|MFS_1,GO:0016021|integral component of membrane;GO:0055085|transmembrane transport,,,,12,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.00810885,Yes
Ophio5|1104.t1,,48.9867,642.429,165.893,PF05730.6|CFEM,,,SignalP: has predicted secretion signal,,7,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.00429103,Yes
Ophio5|1105.t1,,0.0854023,0.0624703,0,,,,,,,,,,Down,1,No,Down,1,No,Down,1,No
Ophio5|1106.t1,,0.194943,0.056513,0.275671,PF07690.11|MFS_1,GO:0016021|integral component of membrane;GO:0055085|transmembrane transport,,,,14,,,,Down,1,No,Up,1,No,Up,1,No
Ophio5|1107.t1,,44.0732,10.7099,5.22727,PF01494.14|FAD_binding_3;PF13450.1|NAD_binding_8;PF00890.19|FAD_binding_2,,,,,1,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Down,0.0310658,Yes
Ophio5|1108.t1,,68.2471,15.0308,16.2439,PF10000.4|ACT_3;PF13518.1|HTH_28;PF13551.1|HTH_29;PF13840.1|ACT_7;PF13384.1|HTH_23,,,,,2,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Up,0.842713,No
Ophio5|1109.t1,,56.7657,1.85055,1.39998,PF06884.6|DUF1264,,,,,,,,,Down,0.000285532,Yes,Down,0.000285532,Yes,Down,0.706848,No
Ophio5|111.t1,,19.6638,21.2081,18.0574,PF04193.9|PQ-loop;PF04193.9|PQ-loop,,,,,7,,,,Up,0.830513,No,Down,0.818398,No,Down,0.630429,No
Ophio5|1110.t1,,0,0,0,,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,,=,1,No,=,1,No,=,1,No
Ophio5|1111.t1,,7.19312,51.1317,95.3684,,,,SignalP: has predicted secretion signal; SSP: small secreted protein,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Up,0.0142756,No
Ophio5|1112.t1,,5.59369,24.1566,26.6936,,,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Up,0.792356,No
Ophio5|1113.t1,,96.7275,61.4658,79.1981,,,,,,,,,,Down,0.0581692,No,Down,0.431446,No,Up,0.330112,No
Ophio5|1114.t1,,153.484,120.997,77.0434,,,,,,,,,,Down,0.532138,No,Down,0.0586806,No,Down,0.248419,No
Ophio5|1115.t1,,1.40961,0.57785,0.340013,,,,,,,,,,Down,1,No,Down,1,No,Down,1,No
Ophio5|1116.t1,,19.2498,91.553,78.4877,,,,,,,,,,Up,0.000285532,Yes,Up,0.000285532,Yes,Down,0.61316,No
Ophio5|1117.t1,,1.55996,18.1144,5.72689,,,,,,,,,,Up,0.035407,Yes,Up,0.130928,No,Down,0.0286365,Yes
Ophio5|1118.t1,,0.994936,177.113,11.9051,,,,,,,,,,Up,0.014705,Yes,Up,0.0170221,Yes,Down,0.000285532,Yes
Ophio5|1119.t1,,228.507,195.148,209.993,PF01194.12|RNA_pol_N,"GO:0003899|DNA-directed RNA polymerase activity;GO:0003677|DNA binding;GO:0006351|transcription, DNA-templated",,,,,,,,Down,0.648985,No,Down,0.811366,No,Up,0.841122,No
