module_identity,kTotal,enriched_in_module,gene_name,gene_desc,rhy_ocflo_okim,rhy_ocflo_beau_cluster3,rhy_ocflo_beau_cluster4,inf_v_control,abs_log2FC,control_rhy24,inf_rhy24,signalP,SSP,TMHMM,arb2_gene,GOs,pfams,sc16a_homolog,BH_pval,control_pval,inf_pval
OC1,113.6,Enterotoxin_a,GQ602_000018,heat-labile enterotoxin subunit alpha,no,no,no,NA,0.692633649,NA,NA,NA,NA,NA,Ophcf2|00018,GO:0044419|interspecies interaction between organisms; GO:0005575|cellular_component; GO:0003674|molecular_function; GO:0044421|extracellular region part; GO:0008150|biological_process; GO:0009405|pathogenesis; GO:0051704|multi-organism process; GO:0090729|toxin activity; GO:0005615|extracellular space;,PF01375|Enterotoxin_a;,Ophio5|4090,5.46E-06,NA,NA
OC1,78,Enterotoxin_a,GQ602_003758,putative enterotoxin,no,no,no,NA,0.068382724,NA,NA,Has signal peptide;,NA,NA,Ophcf2|03758,GO:0044419|interspecies interaction between organisms; GO:0005575|cellular_component; GO:0003674|molecular_function; GO:0044421|extracellular region part; GO:0008150|biological_process; GO:0009405|pathogenesis; GO:0051704|multi-organism process; GO:0090729|toxin activity; GO:0005615|extracellular space;,PF01375|Enterotoxin_a;,Ophio5|373,0.871548931,NA,NA
OC1,257.33,FAD_binding_3,GQ602_000344,Phenol 2-monooxygenase,no,no,no,NA,0.637437521,NA,NA,NA,NA,NA,Ophcf2|00344,GO:0003824|catalytic activity; GO:0005488|binding; GO:1901265|nucleoside phosphate binding; GO:0097159|organic cyclic compound binding; GO:0048037|cofactor binding; GO:0055114|oxidation-reduction process; GO:0003674|molecular_function; GO:0016491|oxidoreductase activity; GO:0008150|biological_process; GO:0036094|small molecule binding; GO:0050662|coenzyme binding; GO:0043167|ion binding; GO:0050660|flavin adenine dinucleotide binding; GO:0000166|nucleotide binding; GO:0008152|metabolic process; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0071949|FAD binding;,PF01494|FAD_binding_3; PF07992|Pyr_redox_2; PF07976|Phe_hydrox_dim;,Ophio5|7969,1.60E-05,NA,NA
OC1,232.31,FAD_binding_3,GQ602_005915,FAD-dependent urate hydroxylase,no,yes,no,NA,0.112706842,yes,NA,NA,NA,3;,Ophcf2|05915,GO:0005488|binding; GO:1901265|nucleoside phosphate binding; GO:0097159|organic cyclic compound binding; GO:0048037|cofactor binding; GO:0003674|molecular_function; GO:0036094|small molecule binding; GO:0050662|coenzyme binding; GO:0043167|ion binding; GO:0050660|flavin adenine dinucleotide binding; GO:0000166|nucleotide binding; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0071949|FAD binding;,PF01494|FAD_binding_3; PF00890|FAD_binding_2; PF13450|NAD_binding_8;,Ophio5|1107,0.230510437,0.002997003,NA
OC1,203.74,FAD_binding_3,GQ602_002169,FAD binding domain-containing protein,no,no,no,down,1.093615526,NA,NA,NA,NA,NA,Ophcf2|02169,GO:0005488|binding; GO:1901265|nucleoside phosphate binding; GO:0097159|organic cyclic compound binding; GO:0048037|cofactor binding; GO:0003674|molecular_function; GO:0036094|small molecule binding; GO:0050662|coenzyme binding; GO:0043167|ion binding; GO:0050660|flavin adenine dinucleotide binding; GO:0000166|nucleotide binding; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0071949|FAD binding;,PF01494|FAD_binding_3;,Ophio5|2267,2.01E-09,NA,NA
OC1,201.52,FAD_binding_3,GQ602_003849,related to 2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,no,no,no,NA,0.189785805,NA,NA,NA,NA,NA,Ophcf2|03849,GO:0005488|binding; GO:1901265|nucleoside phosphate binding; GO:0097159|organic cyclic compound binding; GO:0048037|cofactor binding; GO:0003674|molecular_function; GO:0036094|small molecule binding; GO:0050662|coenzyme binding; GO:0043167|ion binding; GO:0050660|flavin adenine dinucleotide binding; GO:0000166|nucleotide binding; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0071949|FAD binding;,PF01494|FAD_binding_3; PF13450|NAD_binding_8;,Ophio5|4613,0.507625111,NA,NA
OC1,86.09,FAD_binding_3,GQ602_006233,FAD/NAD(P)-binding domain-containing protein,no,no,no,NA,0.031544944,NA,NA,NA,NA,NA,Ophcf2|06233,GO:0005488|binding; GO:1901265|nucleoside phosphate binding; GO:0097159|organic cyclic compound binding; GO:0048037|cofactor binding; GO:0003674|molecular_function; GO:0036094|small molecule binding; GO:0050662|coenzyme binding; GO:0043167|ion binding; GO:0050660|flavin adenine dinucleotide binding; GO:0000166|nucleotide binding; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0071949|FAD binding;,PF01494|FAD_binding_3; PF13450|NAD_binding_8; PF04820|Trp_halogenase; PF00890|FAD_binding_2;,Ophio5|2110,0.737262572,NA,NA
OC1,83.93,FAD_binding_3,GQ602_002422,salicylate hydroxylase,no,no,no,up,1.328331215,NA,NA,NA,NA,NA,Ophcf2|02422,GO:0005488|binding; GO:1901265|nucleoside phosphate binding; GO:0097159|organic cyclic compound binding; GO:0048037|cofactor binding; GO:0003674|molecular_function; GO:0036094|small molecule binding; GO:0050662|coenzyme binding; GO:0043167|ion binding; GO:0050660|flavin adenine dinucleotide binding; GO:0000166|nucleotide binding; GO:0043168|anion binding; GO:1901363|heterocyclic compound binding; GO:0071949|FAD binding;,PF01494|FAD_binding_3;,Ophio5|2813,2.12E-08,NA,NA
OC1,285.21,Fungal_trans,GQ602_002920,related to nitrate assimilation regulatory protein nirA,yes,no,no,NA,0.652985808,yes,NA,NA,NA,NA,Ophcf2|02920,"GO:0009889|regulation of biosynthetic process; GO:0018130|heterocycle biosynthetic process; GO:0005575|cellular_component; GO:0097659|nucleic acid-templated transcription; GO:0097159|organic cyclic compound binding; GO:0051252|regulation of RNA metabolic process; GO:0019222|regulation of metabolic process; GO:0003674|molecular_function; GO:0031323|regulation of cellular metabolic process; GO:0010556|regulation of macromolecule biosynthetic process; GO:0006351|transcription, DNA-templated; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0140110|transcription regulator activity; GO:0044424|intracellular part; GO:0005488|binding; GO:0008270|zinc ion binding; GO:0043170|macromolecule metabolic process; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0080090|regulation of primary metabolic process; GO:0043227|membrane-bounded organelle; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0050789|regulation of biological process; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0003676|nucleic acid binding; GO:1901363|heterocyclic compound binding; GO:0044464|cell part; GO:0051171|regulation of nitrogen compound metabolic process; GO:0019219|regulation of nucleobase-containing compound metabolic process; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0034645|cellular macromolecule biosynthetic process; GO:0010468|regulation of gene expression; GO:0043231|intracellular membrane-bounded organelle; GO:1903506|regulation of nucleic acid-templated transcription; GO:0005634|nucleus; GO:0043226|organelle; GO:0043169|cation binding; GO:0000981|DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0003700|DNA-binding transcription factor activity; GO:0031326|regulation of cellular biosynthetic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0065007|biological regulation; GO:0046872|metal ion binding; GO:2001141|regulation of RNA biosynthetic process; GO:0050794|regulation of cellular process; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0046914|transition metal ion binding; GO:1901576|organic substance biosynthetic process; GO:2000112|regulation of cellular macromolecule biosynthetic process; GO:0016070|RNA metabolic process; GO:0006355|regulation of transcription, DNA-templated; GO:0008152|metabolic process; GO:0060255|regulation of macromolecule metabolic process; GO:0032774|RNA biosynthetic process;",PF00172|Zn_clus; PF04082|Fungal_trans;,Ophio5|8595,1.26E-05,0.000999001,NA
OC1,275.3,Fungal_trans,GQ602_003547,N-terminal binuclear Zn cluster-containing protein,yes,no,no,NA,0.383285844,yes,NA,NA,NA,NA,Ophcf2|03547,"GO:0018130|heterocycle biosynthetic process; GO:0097659|nucleic acid-templated transcription; GO:0023051|regulation of signaling; GO:0004857|enzyme inhibitor activity; GO:0006351|transcription, DNA-templated; GO:0044424|intracellular part; GO:0008270|zinc ion binding; GO:0051246|regulation of protein metabolic process; GO:0019208|phosphatase regulator activity; GO:0043170|macromolecule metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0044260|cellular macromolecule metabolic process; GO:0046483|heterocycle metabolic process; GO:1901363|heterocyclic compound binding; GO:0006139|nucleobase-containing compound metabolic process; GO:0051174|regulation of phosphorus metabolic process; GO:0034645|cellular macromolecule biosynthetic process; GO:1903506|regulation of nucleic acid-templated transcription; GO:0043231|intracellular membrane-bounded organelle; GO:0043169|cation binding; GO:0031326|regulation of cellular biosynthetic process; GO:0046872|metal ion binding; GO:0050794|regulation of cellular process; GO:0046914|transition metal ion binding; GO:1901576|organic substance biosynthetic process; GO:0032774|RNA biosynthetic process; GO:0009889|regulation of biosynthetic process; GO:0005575|cellular_component; GO:0019222|regulation of metabolic process; GO:0019212|phosphatase inhibitor activity; GO:0003674|molecular_function; GO:0031323|regulation of cellular metabolic process; GO:0010556|regulation of macromolecule biosynthetic process; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0080090|regulation of primary metabolic process; GO:0019888|protein phosphatase regulator activity; GO:0003676|nucleic acid binding; GO:0003677|DNA binding; GO:0034641|cellular nitrogen compound metabolic process; GO:0009058|biosynthetic process; GO:2001141|regulation of RNA biosynthetic process; GO:0051336|regulation of hydrolase activity; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:2000112|regulation of cellular macromolecule biosynthetic process; GO:0043227|membrane-bounded organelle; GO:0016070|RNA metabolic process; GO:0097159|organic cyclic compound binding; GO:0009987|cellular process; GO:0035303|regulation of dephosphorylation; GO:0005488|binding; GO:0010921|regulation of phosphatase activity; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0009966|regulation of signal transduction; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0004864|protein phosphatase inhibitor activity; GO:0051171|regulation of nitrogen compound metabolic process; GO:0048583|regulation of response to stimulus; GO:0010468|regulation of gene expression; GO:0005634|nucleus; GO:0003700|DNA-binding transcription factor activity; GO:1901362|organic cyclic compound biosynthetic process; GO:0065007|biological regulation; GO:0035304|regulation of protein dephosphorylation; GO:0050790|regulation of catalytic activity; GO:0008152|metabolic process; GO:0060255|regulation of macromolecule metabolic process; GO:0065009|regulation of molecular function; GO:0051252|regulation of RNA metabolic process; GO:0071704|organic substance metabolic process; GO:0010646|regulation of cell communication; GO:0140110|transcription regulator activity; GO:0098772|molecular function regulator; GO:0043167|ion binding; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0019220|regulation of phosphate metabolic process; GO:0050789|regulation of biological process; GO:0044464|cell part; GO:0019219|regulation of nucleobase-containing compound metabolic process; GO:0032268|regulation of cellular protein metabolic process; GO:0031399|regulation of protein modification process; GO:0043226|organelle; GO:0000981|DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0030234|enzyme regulator activity; GO:0044238|primary metabolic process; GO:0008150|biological_process; GO:0043666|regulation of phosphoprotein phosphatase activity; GO:0090304|nucleic acid metabolic process; GO:0006355|regulation of transcription, DNA-templated;",PF04979|IPP-2; PF00172|Zn_clus; PF04082|Fungal_trans;,Ophio5|750,0.010352675,0.0136888,NA
OC1,249.56,Fungal_trans,GQ602_002954,fungal specific transcription factor domain protein,yes,yes,no,down,1.429303276,yes,NA,NA,NA,1;,Ophcf2|02954,"GO:0009889|regulation of biosynthetic process; GO:0018130|heterocycle biosynthetic process; GO:0005575|cellular_component; GO:0097659|nucleic acid-templated transcription; GO:0097159|organic cyclic compound binding; GO:0051252|regulation of RNA metabolic process; GO:0019222|regulation of metabolic process; GO:0003674|molecular_function; GO:0031323|regulation of cellular metabolic process; GO:0010556|regulation of macromolecule biosynthetic process; GO:0006351|transcription, DNA-templated; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0140110|transcription regulator activity; GO:0044424|intracellular part; GO:0005488|binding; GO:0008270|zinc ion binding; GO:0043170|macromolecule metabolic process; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0080090|regulation of primary metabolic process; GO:0043227|membrane-bounded organelle; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0050789|regulation of biological process; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0003676|nucleic acid binding; GO:1901363|heterocyclic compound binding; GO:0044464|cell part; GO:0051171|regulation of nitrogen compound metabolic process; GO:0019219|regulation of nucleobase-containing compound metabolic process; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0034645|cellular macromolecule biosynthetic process; GO:0010468|regulation of gene expression; GO:0043231|intracellular membrane-bounded organelle; GO:1903506|regulation of nucleic acid-templated transcription; GO:0005634|nucleus; GO:0043226|organelle; GO:0043169|cation binding; GO:0000981|DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0003700|DNA-binding transcription factor activity; GO:0031326|regulation of cellular biosynthetic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0065007|biological regulation; GO:0046872|metal ion binding; GO:2001141|regulation of RNA biosynthetic process; GO:0050794|regulation of cellular process; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0046914|transition metal ion binding; GO:1901576|organic substance biosynthetic process; GO:2000112|regulation of cellular macromolecule biosynthetic process; GO:0016070|RNA metabolic process; GO:0006355|regulation of transcription, DNA-templated; GO:0008152|metabolic process; GO:0060255|regulation of macromolecule metabolic process; GO:0032774|RNA biosynthetic process;",PF00172|Zn_clus; PF04082|Fungal_trans;,Ophio5|7225,2.21E-13,0.00842621,NA
OC1,248.71,Fungal_trans,GQ602_004383,binuclear zinc transcription factor,yes,no,no,up,1.495188512,yes,NA,NA,NA,NA,Ophcf2|04383,"GO:0009889|regulation of biosynthetic process; GO:0018130|heterocycle biosynthetic process; GO:0005575|cellular_component; GO:0097659|nucleic acid-templated transcription; GO:0097159|organic cyclic compound binding; GO:0051252|regulation of RNA metabolic process; GO:0019222|regulation of metabolic process; GO:0003674|molecular_function; GO:0031323|regulation of cellular metabolic process; GO:0010556|regulation of macromolecule biosynthetic process; GO:0006351|transcription, DNA-templated; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0140110|transcription regulator activity; GO:0044424|intracellular part; GO:0005488|binding; GO:0008270|zinc ion binding; GO:0043170|macromolecule metabolic process; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0080090|regulation of primary metabolic process; GO:0043227|membrane-bounded organelle; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0050789|regulation of biological process; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0003676|nucleic acid binding; GO:1901363|heterocyclic compound binding; GO:0044464|cell part; GO:0051171|regulation of nitrogen compound metabolic process; GO:0019219|regulation of nucleobase-containing compound metabolic process; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0034645|cellular macromolecule biosynthetic process; GO:0010468|regulation of gene expression; GO:0043231|intracellular membrane-bounded organelle; GO:1903506|regulation of nucleic acid-templated transcription; GO:0005634|nucleus; GO:0043226|organelle; GO:0043169|cation binding; GO:0000981|DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0003700|DNA-binding transcription factor activity; GO:0031326|regulation of cellular biosynthetic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0065007|biological regulation; GO:0046872|metal ion binding; GO:2001141|regulation of RNA biosynthetic process; GO:0050794|regulation of cellular process; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0046914|transition metal ion binding; GO:1901576|organic substance biosynthetic process; GO:2000112|regulation of cellular macromolecule biosynthetic process; GO:0016070|RNA metabolic process; GO:0006355|regulation of transcription, DNA-templated; GO:0008152|metabolic process; GO:0060255|regulation of macromolecule metabolic process; GO:0032774|RNA biosynthetic process;",PF04082|Fungal_trans; PF00172|Zn_clus;,Ophio5|8241,0.000743844,0.03420442,NA
OC1,246.73,Fungal_trans,GQ602_000723,probable transcription activator protein acu-15,no,no,no,NA,0.139137195,yes,NA,NA,NA,NA,Ophcf2|00723,"GO:0009889|regulation of biosynthetic process; GO:0018130|heterocycle biosynthetic process; GO:0005575|cellular_component; GO:0097659|nucleic acid-templated transcription; GO:0097159|organic cyclic compound binding; GO:0051252|regulation of RNA metabolic process; GO:0019222|regulation of metabolic process; GO:0003674|molecular_function; GO:0031323|regulation of cellular metabolic process; GO:0010556|regulation of macromolecule biosynthetic process; GO:0006351|transcription, DNA-templated; GO:0034654|nucleobase-containing compound biosynthetic process; GO:0071704|organic substance metabolic process; GO:0009987|cellular process; GO:0140110|transcription regulator activity; GO:0044424|intracellular part; GO:0005488|binding; GO:0008270|zinc ion binding; GO:0043170|macromolecule metabolic process; GO:0043229|intracellular organelle; GO:0044237|cellular metabolic process; GO:0006807|nitrogen compound metabolic process; GO:0080090|regulation of primary metabolic process; GO:0043227|membrane-bounded organelle; GO:0044260|cellular macromolecule metabolic process; GO:0043167|ion binding; GO:0044271|cellular nitrogen compound biosynthetic process; GO:0019438|aromatic compound biosynthetic process; GO:0050789|regulation of biological process; GO:0006725|cellular aromatic compound metabolic process; GO:0009059|macromolecule biosynthetic process; GO:0046483|heterocycle metabolic process; GO:0003676|nucleic acid binding; GO:1901363|heterocyclic compound binding; GO:0044464|cell part; GO:0051171|regulation of nitrogen compound metabolic process; GO:0019219|regulation of nucleobase-containing compound metabolic process; GO:0006139|nucleobase-containing compound metabolic process; GO:0003677|DNA binding; GO:0034645|cellular macromolecule biosynthetic process; GO:0010468|regulation of gene expression; GO:0043231|intracellular membrane-bounded organelle; GO:1903506|regulation of nucleic acid-templated transcription; GO:0005634|nucleus; GO:0043226|organelle; GO:0043169|cation binding; GO:0000981|DNA-binding transcription factor activity, RNA polymerase II-specific; GO:0034641|cellular nitrogen compound metabolic process; GO:0044238|primary metabolic process; GO:0003700|DNA-binding transcription factor activity; GO:0031326|regulation of cellular biosynthetic process; GO:0009058|biosynthetic process; GO:1901362|organic cyclic compound biosynthetic process; GO:0065007|biological regulation; GO:0046872|metal ion binding; GO:2001141|regulation of RNA biosynthetic process; GO:0050794|regulation of cellular process; GO:0008150|biological_process; GO:0044249|cellular biosynthetic process; GO:1901360|organic cyclic compound metabolic process; GO:0090304|nucleic acid metabolic process; GO:0046914|transition metal ion binding; GO:1901576|organic substance biosynthetic process; GO:2000112|regulation of cellular macromolecule biosynthetic process; GO:0016070|RNA metabolic process; GO:0006355|regulation of transcription, DNA-templated; GO:0008152|metabolic process; GO:0060255|regulation of macromolecule metabolic process; GO:0032774|RNA biosynthetic process;",PF04082|Fungal_trans; PF00172|Zn_clus;,Ophio5|7378,0.190194052,0.021846184,NA
