module_identity,kTotal,enriched_in_module,gene_name,gene_desc,rhy_brain_head_cluster1,for24_nur8,ocflo_UP,ocflo_DOWN,beau_UP,beau_DOWN,rhy24_control,rhy24_ocflo_inf,rhy24_beau_inf,signalP,TMHMM,GOs,pfams
C22,28.45,Helicase associated domain (HA2); Oligonucleotide/oligosaccharide-binding (OB)-fold,LOC105251570,pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,no,no,no,no,no,no,no,no,no,0,0,GO:0003676|nucleic acid binding; GO:0004386|helicase activity; GO:0005524|ATP binding,PF07717|Oligonucleotide/oligosaccharide-binding (OB)-fold; PF00270|DEAD/DEAH box helicase; PF04408|Helicase associated domain (HA2); PF00271|Helicase conserved C-terminal domain
C22,22.56,Helicase associated domain (HA2); Oligonucleotide/oligosaccharide-binding (OB)-fold,LOC105254386,probable ATP-dependent RNA helicase DHX34,no,no,no,no,no,no,no,no,no,0,0,GO:0003676|nucleic acid binding; GO:0004386|helicase activity; GO:0005524|ATP binding,PF00271|Helicase conserved C-terminal domain; PF07717|Oligonucleotide/oligosaccharide-binding (OB)-fold; PF00270|DEAD/DEAH box helicase; PF04408|Helicase associated domain (HA2)
C22,50.83,IQ calmodulin-binding motif,LOC105254179,AT-rich binding protein isoform X1,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,PF00612|IQ calmodulin-binding motif; PF00612|IQ calmodulin-binding motif; PF00612|IQ calmodulin-binding motif
C22,27.4,IQ calmodulin-binding motif,LOC112639617,IQ domain-containing protein K-like,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,PF00612|IQ calmodulin-binding motif
C22,22.72,IQ calmodulin-binding motif,LOC105247817,abnormal spindle-like microcephaly-associated protein homolog,no,no,no,no,no,no,no,no,yes,0,0,GO:0005515|protein binding,PF00612|IQ calmodulin-binding motif; PF00612|IQ calmodulin-binding motif; PF00612|IQ calmodulin-binding motif; PF00612|IQ calmodulin-binding motif
C22,60.31,Myosin head (motor domain),LOC105251226,unconventional myosin-Ie,no,no,no,no,no,no,no,no,no,0,0,GO:0003774|motor activity; GO:0005515|protein binding; GO:0005524|ATP binding; GO:0016459|myosin complex,"PF06017|Unconventional myosin tail, actin- and lipid-binding; PF00063|Myosin head (motor domain); PF14604|Variant SH3 domain"
C22,31.27,Myosin head (motor domain),LOC105256416,LOW QUALITY PROTEIN: myosin heavy chain 95F-like,no,no,no,no,no,no,no,no,no,0,0,GO:0003774|motor activity; GO:0005524|ATP binding; GO:0016459|myosin complex,PF00063|Myosin head (motor domain); PF16521|Myosin VI cargo binding domain
C22,100.84,Myosin head (motor domain); IQ calmodulin-binding motif,LOC105254571,myosin-IA,no,no,no,no,no,no,yes,no,no,0,0,GO:0003774|motor activity; GO:0005515|protein binding; GO:0005524|ATP binding; GO:0016459|myosin complex,"PF00063|Myosin head (motor domain); PF06017|Unconventional myosin tail, actin- and lipid-binding; PF00612|IQ calmodulin-binding motif"
C22,95.28,Myosin head (motor domain); IQ calmodulin-binding motif,LOC105250126,"myosin heavy chain, non-muscle isoform X3",no,no,no,no,no,no,no,no,no,0,0,GO:0003774|motor activity; GO:0005515|protein binding; GO:0005524|ATP binding; GO:0016459|myosin complex,PF00612|IQ calmodulin-binding motif; PF01576|Myosin tail; PF02736|Myosin N-terminal SH3-like domain; PF00063|Myosin head (motor domain)
C22,69.26,Myosin head (motor domain); IQ calmodulin-binding motif,LOC105248722,unconventional myosin-Va isoform X1,no,yes,no,no,no,no,no,no,yes,0,0,GO:0003774|motor activity; GO:0005515|protein binding; GO:0005524|ATP binding; GO:0016459|myosin complex,PF01843|DIL domain; PF00612|IQ calmodulin-binding motif; PF00612|IQ calmodulin-binding motif; PF00063|Myosin head (motor domain)
C22,53.47,Myosin head (motor domain); IQ calmodulin-binding motif,LOC105258255,myosin-IB isoform X1,no,no,no,no,no,no,no,no,no,0,0,GO:0003774|motor activity; GO:0005515|protein binding; GO:0005524|ATP binding; GO:0016459|myosin complex,"PF00612|IQ calmodulin-binding motif; PF00612|IQ calmodulin-binding motif; PF00063|Myosin head (motor domain); PF06017|Unconventional myosin tail, actin- and lipid-binding"
C22,42.48,Myosin head (motor domain); IQ calmodulin-binding motif,LOC105257790,myosin-IIIb isoform X2,no,no,no,no,no,no,no,no,no,0,0,GO:0003774|motor activity; GO:0004672|protein kinase activity; GO:0005515|protein binding; GO:0005524|ATP binding; GO:0006468|protein phosphorylation; GO:0016459|myosin complex,PF00063|Myosin head (motor domain); PF00612|IQ calmodulin-binding motif; PF00612|IQ calmodulin-binding motif; PF00069|Protein kinase domain
C22,31.52,Myosin head (motor domain); IQ calmodulin-binding motif,LOC105255673,unconventional myosin-XV isoform X2,no,no,no,no,no,no,no,no,no,0,0,GO:0003774|motor activity; GO:0003779|actin binding; GO:0005524|ATP binding; GO:0007605|sensory perception of sound; GO:0016459|myosin complex,PF00784|MyTH4 domain; PF00784|MyTH4 domain; PF00373|FERM central domain; PF00612|IQ calmodulin-binding motif; PF00612|IQ calmodulin-binding motif; PF00063|Myosin head (motor domain)
C22,85.53,Thioredoxin,LOC105255653,thioredoxin-like protein 1,no,no,no,no,no,no,no,no,no,0,0,GO:0045454|cell redox homeostasis,PF06201|PITH domain; PF00085|Thioredoxin
C22,77.64,Thioredoxin,LOC105251774,endoplasmic reticulum resident protein 44 isoform X1,no,no,no,no,no,no,no,no,no,1,0,GO:0045454|cell redox homeostasis,PF13848|Thioredoxin-like domain; PF00085|Thioredoxin
C22,77.23,Thioredoxin,LOC105249998,protein disulfide-isomerase A3,no,no,no,no,no,no,no,no,no,3,0,GO:0045454|cell redox homeostasis,PF13848|Thioredoxin-like domain; PF00085|Thioredoxin; PF00085|Thioredoxin
C22,76.88,Thioredoxin,LOC105257543,protein disulfide-isomerase A6 homolog,no,no,no,no,no,no,no,no,no,1,1,GO:0045454|cell redox homeostasis,PF00085|Thioredoxin; PF00085|Thioredoxin
C22,58.11,Thioredoxin,LOC105255920,protein disulfide-isomerase TMX3 isoform X1,no,no,no,no,no,no,no,no,no,1,2,GO:0045454|cell redox homeostasis,PF13848|Thioredoxin-like domain; PF00085|Thioredoxin
C22,44.34,Thioredoxin,LOC105258481,protein disulfide-isomerase,no,no,no,no,no,no,no,no,no,1,0,GO:0045454|cell redox homeostasis,PF00085|Thioredoxin; PF00085|Thioredoxin; PF13848|Thioredoxin-like domain
C22,28.24,Thioredoxin,LOC105249283,thioredoxin domain-containing protein 11 isoform X2,no,no,no,no,no,no,no,no,no,0,1,GO:0045454|cell redox homeostasis,PF00085|Thioredoxin; PF00085|Thioredoxin
C22,27.51,Thioredoxin,LOC105250261,sulfhydryl oxidase 2,no,no,no,no,no,no,no,no,no,1,1,GO:0016971|flavin-linked sulfhydryl oxidase activity; GO:0045454|cell redox homeostasis; GO:0055114|oxidation-reduction process,PF00085|Thioredoxin; PF04777|Erv1 / Alr family; PF18108|QSOX Trx-like domain; PF18371|Flavin adenine dinucleotide (FAD)-dependent sulfhydryl oxidase
C22,91.29,Trypsin,LOC105249256,chymotrypsin-2-like,no,no,no,no,no,yes,no,no,no,0,1,GO:0004252|serine-type endopeptidase activity; GO:0006508|proteolysis,PF00089|Trypsin
C22,73.93,Trypsin,LOC105259359,phenoloxidase-activating factor 2 isoform X2,no,no,no,no,no,no,no,no,no,3,0,GO:0004252|serine-type endopeptidase activity; GO:0006508|proteolysis,PF00089|Trypsin; PF18322|Serine protease Clip domain PPAF-2
C22,73.12,Trypsin,LOC105248455,serine protease persephone,no,no,no,no,no,yes,no,no,no,1,0,GO:0004252|serine-type endopeptidase activity; GO:0006508|proteolysis,PF00089|Trypsin
C22,72.32,Trypsin,LOC105248943,uncharacterized protein LOC105248943,no,no,no,no,no,no,no,no,no,0,0,GO:0004252|serine-type endopeptidase activity; GO:0005044|scavenger receptor activity; GO:0005515|protein binding; GO:0005576|extracellular region; GO:0006030|chitin metabolic process; GO:0006508|proteolysis; GO:0008061|chitin binding; GO:0016020|membrane,PF01607|Chitin binding Peritrophin-A domain; PF01607|Chitin binding Peritrophin-A domain; PF01607|Chitin binding Peritrophin-A domain; PF01607|Chitin binding Peritrophin-A domain; PF00089|Trypsin; PF00024|PAN domain; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00057|Low-density lipoprotein receptor domain class A; PF00530|Scavenger receptor cysteine-rich domain; PF00530|Scavenger receptor cysteine-rich domain; PF00530|Scavenger receptor cysteine-rich domain; PF00051|Kringle domain
C22,60.96,Trypsin,LOC105256415,uncharacterized protein LOC105256415,no,no,no,no,no,no,no,no,no,0,1,GO:0004252|serine-type endopeptidase activity; GO:0006508|proteolysis,PF12032|Regulatory CLIP domain of proteinases; PF12032|Regulatory CLIP domain of proteinases; PF00089|Trypsin; PF00089|Trypsin; PF00089|Trypsin
C22,55.41,Trypsin,LOC105249241,chymotrypsin-2-like,no,no,no,no,no,no,no,no,no,0,1,GO:0004252|serine-type endopeptidase activity; GO:0006508|proteolysis,PF00089|Trypsin
C22,54.88,Trypsin,LOC105247818,modular serine protease-like,no,no,no,no,no,no,no,no,no,3,0,GO:0004252|serine-type endopeptidase activity; GO:0005515|protein binding; GO:0006508|proteolysis,PF00057|Low-density lipoprotein receptor domain class A; PF00084|Sushi repeat (SCR repeat); PF00089|Trypsin
C22,52.22,Trypsin,LOC105258352,uncharacterized protein LOC105258352,no,no,no,no,no,no,no,yes,yes,1,0,GO:0004252|serine-type endopeptidase activity; GO:0006508|proteolysis,PF18399|Clip-domain serine protease homolog Scarface; PF00089|Trypsin
C22,26.68,Trypsin,LOC105247909,coagulation factor VII,no,no,no,no,no,no,no,no,no,0,1,GO:0004252|serine-type endopeptidase activity; GO:0006508|proteolysis,PF00089|Trypsin
C22,19.09,Trypsin,LOC105252002,transmembrane protease serine 9,no,no,no,no,no,no,no,no,no,0,0,GO:0004252|serine-type endopeptidase activity; GO:0006508|proteolysis,PF00089|Trypsin; PF00089|Trypsin
C22,86.51,Ubiquitin-conjugating enzyme,LOC105258379,ubiquitin-conjugating enzyme E2-22 kDa isoform X1,no,no,no,no,no,no,no,no,no,0,0,,PF00179|Ubiquitin-conjugating enzyme
C22,71.86,Ubiquitin-conjugating enzyme,LOC105256368,ubiquitin-conjugating enzyme E2 G1,no,no,no,no,no,no,no,no,no,0,0,,PF00179|Ubiquitin-conjugating enzyme
C22,71.01,Ubiquitin-conjugating enzyme,LOC105255367,ubiquitin-conjugating enzyme E2 R2,no,no,no,no,no,no,no,no,no,0,0,,PF00179|Ubiquitin-conjugating enzyme
C22,70.9,Ubiquitin-conjugating enzyme,LOC105251716,ubiquitin-conjugating enzyme E2 J2 isoform X2,no,no,no,no,no,no,no,no,no,0,1,,PF00179|Ubiquitin-conjugating enzyme
C22,63.47,Ubiquitin-conjugating enzyme,LOC105250484,ubiquitin-conjugating enzyme E2 Q2,no,no,no,no,no,no,no,no,no,0,0,,PF00179|Ubiquitin-conjugating enzyme
C22,45.83,Ubiquitin-conjugating enzyme,LOC105249197,ubiquitin-conjugating enzyme E2Q-like protein CG4502,no,no,no,no,no,no,no,no,no,0,0,,PF00179|Ubiquitin-conjugating enzyme
C22,43,Ubiquitin-conjugating enzyme,LOC105255584,ubiquitin-conjugating enzyme E2 H,no,no,no,no,no,no,no,no,no,0,0,,PF00179|Ubiquitin-conjugating enzyme
C22,33.35,Ubiquitin-conjugating enzyme,LOC105255057,ubiquitin-conjugating enzyme E2 C,no,no,no,no,no,no,no,no,no,0,0,,PF00179|Ubiquitin-conjugating enzyme
C22,15.2,Ubiquitin-conjugating enzyme,LOC105256424,SUMO-conjugating enzyme UBC9-B,no,no,no,no,no,no,no,no,no,0,0,,PF00179|Ubiquitin-conjugating enzyme
C22,109.57,"WD domain, G-beta repeat",LOC105253799,WD40 repeat-containing protein SMU1,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,"PF12894|Anaphase-promoting complex subunit 4 WD40 domain; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF17814|LisH-like dimerisation domain"
C22,96.78,"WD domain, G-beta repeat",LOC105248790,coronin-2B isoform X1,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,"PF16300|Type of WD40 repeat; PF00400|WD domain, G-beta repeat; PF08953|Domain of unknown function (DUF1899)"
C22,91.74,"WD domain, G-beta repeat",LOC105258105,LOW QUALITY PROTEIN: protein groucho-like,no,no,no,no,no,no,no,no,no,0,0,"GO:0005515|protein binding; GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated","PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF03920|Groucho/TLE N-terminal Q-rich domain"
C22,91.25,"WD domain, G-beta repeat",LOC105250773,WD repeat-containing protein 43,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,"PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF04003|Dip2/Utp12 Family"
C22,88.05,"WD domain, G-beta repeat",LOC105250787,notchless protein homolog 1,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,"PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF08154|NLE (NUC135) domain"
C22,86.21,"WD domain, G-beta repeat",LOC105248653,WD repeat-containing protein 47 isoform X1,no,no,no,no,no,no,no,no,no,1,0,GO:0005515|protein binding,"PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat"
C22,84.84,"WD domain, G-beta repeat",LOC105252323,DDB1- and CUL4-associated factor 5,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,"PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat"
C22,80.9,"WD domain, G-beta repeat",LOC105248561,actin-related protein 2/3 complex subunit 1A,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding; GO:0005885|Arp2/3 protein complex; GO:0034314|Arp2/3 complex-mediated actin nucleation,"PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat"
C22,78.4,"WD domain, G-beta repeat",LOC105250502,eukaryotic translation initiation factor 3 subunit I,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,"PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat"
C22,77.58,"WD domain, G-beta repeat",LOC105254683,striatin-3,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,"PF08232|Striatin family; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat"
C22,74.99,"WD domain, G-beta repeat",LOC105253600,WD repeat and FYVE domain-containing protein 2,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding; GO:0046872|metal ion binding,"PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF01363|FYVE zinc finger"
C22,73.88,"WD domain, G-beta repeat",LOC105251899,U3 small nucleolar RNA-associated protein 15 homolog,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding; GO:0005730|nucleolus; GO:0006364|rRNA processing,"PF09384|UTP15 C terminal; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat"
C22,69.02,"WD domain, G-beta repeat",LOC105249006,F-box-like/WD repeat-containing protein TBL1XR1,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,"PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF08513|LisH"
C22,68.97,"WD domain, G-beta repeat",LOC105257440,F-box/WD repeat-containing protein 7,no,yes,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,"PF12937|F-box-like; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat"
C22,68.1,"WD domain, G-beta repeat",LOC105251604,protein transport protein Sec31A isoform X1,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding; GO:0006888|endoplasmic reticulum to Golgi vesicle-mediated transport,"PF00400|WD domain, G-beta repeat; PF07304|Steroid receptor RNA activator (SRA1); PF12931|Sec23-binding domain of Sec16"
C22,66.74,"WD domain, G-beta repeat",LOC105259345,WD repeat-containing protein 82,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding; GO:0048188|Set1C/COMPASS complex,"PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat"
C22,63.66,"WD domain, G-beta repeat",LOC105255063,mRNA export factor,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding; GO:0006406|mRNA export from nucleus,"PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat"
C22,62.21,"WD domain, G-beta repeat",LOC105248123,katanin p80 WD40 repeat-containing subunit B1 isoform X2,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding,"PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF13925|con80 domain of Katanin"
C22,61.68,"WD domain, G-beta repeat",LOC105257374,WD repeat-containing protein 18,no,no,no,no,no,no,no,no,yes,0,0,GO:0005515|protein binding,"PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat"
C22,59.74,"WD domain, G-beta repeat",LOC105247829,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L isoform X2,no,no,no,no,no,no,no,no,no,0,0,GO:0005515|protein binding; GO:0030914|STAGA complex; GO:0033276|transcription factor TFTC complex,"PF04494|WD40 associated region in TFIID subunit, NTD2 domain; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat"
C22,58.49,"WD domain, G-beta repeat",LOC105249753,probable elongator complex protein 2,no,no,no,no,no,no,no,no,no,0,0,GO:0002098|tRNA wobble uridine modification; GO:0005515|protein binding; GO:0033588|Elongator holoenzyme complex,"PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat"
