"gene_name","GOs","pfams","signalP","TMHMM","sc16a_ccl_up_down","sc16a_ccd_up_down","ccl_ccd_up_down"
"Ophio5|1010","GO:0008380|RNA splicing;GO:0005681|spliceosomal complex","PF02840.10|Prp18;PF08799.6|PRP4","",NA,"Up","Up","Up"
"Ophio5|1011","GO:0005515|protein binding","PF10602.4|RPN7;PF01399.22|PCI","",NA,"Down","Down","Up"
"Ophio5|1012","GO:0000981|sequence-specific DNA binding RNA polymerase II transcription factor activity;GO:0006355|regulation of transcription, DNA-templated;GO:0003677|DNA binding;GO:0005634|nucleus;GO:0008270|zinc ion binding;GO:0006351|transcription, DNA-templated","PF04082.13|Fungal_trans;PF00172.13|Zn_clus","",NA,"Down","Down","Down"
"Ophio5|1013","","","SignalP: has predicted secretion signal",NA,"Down","Down","Up"
"Ophio5|1014","","","",NA,"Up","Up","Down"
"Ophio5|1015","","","",NA,"Up","Up","Up"
"Ophio5|1016","GO:0004177|aminopeptidase activity;GO:0030145|manganese ion binding","PF00557.19|Peptidase_M24;PF05195.11|AMP_N","",NA,"Down","Down","Down"
"Ophio5|1017","GO:0016020|membrane","PF03388.8|Lectin_leg-like","SignalP: has predicted secretion signal",1,"Down","Down","Up"
"Ophio5|1018","GO:0005789|endoplasmic reticulum membrane;GO:0016758|transferase activity, transferring hexosyl groups","PF03155.10|Alg6_Alg8","",7,"Down","Down","Up"
"Ophio5|1019","","","",4,"Up","Up","Down"
"Ophio5|102","","PF07989.6|Microtub_assoc;PF10495.4|PACT_coil_coil","",NA,"Up","Up","Up"
"Ophio5|1020","GO:0017119|Golgi transport complex;GO:0006891|intra-Golgi vesicle-mediated transport","PF06419.6|COG6;PF06419.6|COG6","",NA,"Down","Down","Down"
"Ophio5|1021","GO:0070403|NAD+ binding","PF02146.12|SIR2","",NA,"Up","Up","Up"
"Ophio5|1022","","PF10294.4|Methyltransf_16;PF13489.1|Methyltransf_23","",NA,"Down","Up","Up"
"Ophio5|1023","GO:0004017|adenylate kinase activity","PF00406.17|ADK;PF05191.9|ADK_lid","",NA,"Up","Up","Up"
"Ophio5|1024","","PF08569.6|Mo25;PF08569.6|Mo25;PF08569.6|Mo25","",NA,"Up","Down","Down"
"Ophio5|1025","","","",NA,"Down","Down","Up"
"Ophio5|1026","GO:0003677|DNA binding;GO:0006260|DNA replication;GO:0003887|DNA-directed DNA polymerase activity","PF04042.11|DNA_pol_E_B","",NA,"Up","Up","Down"
"Ophio5|1027","","PF13515.1|FUSC_2","",10,"Down","Down","Down"
"Ophio5|1028","","PF13419.1|HAD_2;PF13242.1|Hydrolase_like","",NA,"Down","Down","Up"
"Ophio5|1029","GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation","PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr","",NA,"Down","Down","Up"
"Ophio5|103","GO:0003677|DNA binding","PF13369.1|Transglut_core2;PF08755.6|YccV-like","",NA,"Up","Down","Down"
"Ophio5|1030","","","",NA,"Down","Up","Up"
"Ophio5|1031","","","",NA,"Down","Down","Up"
"Ophio5|1032","GO:0003677|DNA binding;GO:0005515|protein binding","PF14633.1|SH2_2;PF14878.1|DLD;PF14639.1|YqgF;PF14635.1|HHH_7;PF14632.1|SPT6_acidic;PF14641.1|HTH_44","",NA,"Up","Up","Down"
"Ophio5|1033","","","",NA,"Up","Up","Down"
"Ophio5|1034","GO:0006397|mRNA processing","PF05700.6|BCAS2","",NA,"Up","Up","Up"
"Ophio5|1035","","PF00027.24|cNMP_binding;PF00027.24|cNMP_binding","",NA,"Up","Up","Down"
"Ophio5|1036","GO:0070461|SAGA-type complex","PF12767.2|SAGA-Tad1","",NA,"Up","Down","Down"
"Ophio5|1037","GO:0000226|microtubule cytoskeleton organization;GO:0000922|spindle pole;GO:0005815|microtubule organizing center","PF04130.8|Spc97_Spc98","",NA,"Up","Up","Down"
"Ophio5|1038","","","",NA,"Up","Up","Down"
"Ophio5|1039","","","",NA,"Up","Up","Down"
"Ophio5|104","","","SignalP: has predicted secretion signal",1,"Up","Up","Up"
"Ophio5|1040","","","",NA,"Up","Up","Down"
"Ophio5|1041","","","",NA,"Down","Down","Up"
"Ophio5|1042","","","",NA,"Up","Up","Down"
"Ophio5|1043","","PF01636.18|APH","",NA,"Down","Down","Down"
"Ophio5|1044","","","",NA,"Up","Down","Down"
"Ophio5|1045","GO:0016746|transferase activity, transferring acyl groups;GO:0008152|metabolic process","PF00198.18|2-oxoacid_dh;PF00364.17|Biotin_lipoyl","",NA,"Down","Down","Down"
"Ophio5|1046","","PF00557.19|Peptidase_M24","",NA,"Down","Down","Down"
"Ophio5|1047","","PF02953.10|zf-Tim10_DDP","",NA,"Up","Up","Up"
"Ophio5|1048","","PF10487.4|Nup188","",NA,"Up","Up","Up"
"Ophio5|1049","GO:0006541|glutamine metabolic process;GO:0016787|hydrolase activity;GO:0004640|phosphoribosylanthranilate isomerase activity;GO:0004425|indole-3-glycerol-phosphate synthase activity;GO:0006568|tryptophan metabolic process","PF00218.16|IGPS;PF00117.23|GATase;PF00697.17|PRAI;PF07722.8|Peptidase_C26","",NA,"Down","Down","Up"
"Ophio5|105","GO:0016491|oxidoreductase activity;GO:0008152|metabolic process","PF00264.15|Tyrosinase","SignalP: has predicted secretion signal",NA,"Up","Up","Up"
"Ophio5|1050","","","",NA,"Down","Up","Up"
"Ophio5|1051","","","",1,"Down","Down","Up"
"Ophio5|1052","","PF08312.7|cwf21","",NA,"Up","Up","Down"
"Ophio5|1053","","PF07065.9|D123","",NA,"Up","Up","Down"
"Ophio5|1054","","PF12511.3|DUF3716","",NA,"Down","Down","Down"
"Ophio5|1055","GO:0031683|G-protein beta/gamma-subunit complex binding;GO:0019001|guanyl nucleotide binding;GO:0005525|GTP binding;GO:0004871|signal transducer activity;GO:0003924|GTPase activity;GO:0007186|G-protein coupled receptor signaling pathway","PF00503.15|G-alpha;PF00025.16|Arf","",NA,"Up","Up","Down"
"Ophio5|1056","","","",NA,"Down","Down","Up"
"Ophio5|1057","","","",NA,"Down","Down","Up"
"Ophio5|1058","GO:0008121|ubiquinol-cytochrome-c reductase activity","PF02939.11|UcrQ","",1,"Up","Up","Down"
"Ophio5|1059","","PF01145.20|Band_7","",NA,"Up","Up","Up"
"Ophio5|106","","","",NA,"Up","Down","Down"
"Ophio5|1060","","","",NA,"Down","Down","Down"
"Ophio5|1061","","PF05057.9|DUF676;PF12697.2|Abhydrolase_6;PF12695.2|Abhydrolase_5","",1,"Up","Up","Down"
"Ophio5|1062","","PF04707.9|PRELI","",NA,"Down","Down","Up"
"Ophio5|1063","","PF01451.16|LMWPc","",NA,"Down","Up","Up"
"Ophio5|1064","GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation","PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr","",NA,"Down","Down","Up"
"Ophio5|1065","","PF11937.3|DUF3455","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Up","Up"
"Ophio5|1066","","","",6,"Up","Down","Down"
"Ophio5|1067","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Up","Down"
"Ophio5|1068","GO:0017119|Golgi transport complex","PF04124.7|Dor1;PF04124.7|Dor1","",NA,"Down","Down","Down"
"Ophio5|1069","","","SignalP: has predicted secretion signal",NA,"Down","Down","Down"
"Ophio5|107","GO:0015937|coenzyme A biosynthetic process;GO:0004140|dephospho-CoA kinase activity;GO:0005524|ATP binding","PF01121.15|CoaE","",1,"Down","Down","Up"
"Ophio5|1070","GO:0016787|hydrolase activity","PF00149.23|Metallophos","",NA,"Down","Down","Down"
"Ophio5|1071","GO:0016757|transferase activity, transferring glycosyl groups","PF03901.12|Glyco_transf_22","",10,"Down","Down","Up"
"Ophio5|1072","GO:0016020|membrane;GO:0005216|ion channel activity;GO:0006811|ion transport;GO:0055085|transmembrane transport","PF00520.26|Ion_trans","",5,"Down","Down","Up"
"Ophio5|1073","GO:0042254|ribosome biogenesis;GO:0001522|pseudouridine synthesis","PF04410.9|Gar1","",NA,"Down","Down","Up"
"Ophio5|1074","GO:0006508|proteolysis;GO:0008233|peptidase activity","PF04389.12|Peptidase_M28","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|1075","","","",NA,"Up","Up","Down"
"Ophio5|1076","","PF05916.6|Sld5","",NA,"Up","Up","Down"
"Ophio5|1077","GO:0000981|sequence-specific DNA binding RNA polymerase II transcription factor activity;GO:0008270|zinc ion binding;GO:0006355|regulation of transcription, DNA-templated;GO:0005634|nucleus","PF00172.13|Zn_clus","",NA,"Down","Down","Down"
"Ophio5|1078","","","",NA,"Down","Down","Down"
"Ophio5|1079","GO:0004827|proline-tRNA ligase activity;GO:0005737|cytoplasm;GO:0004812|aminoacyl-tRNA ligase activity;GO:0005524|ATP binding;GO:0000166|nucleotide binding;GO:0006418|tRNA aminoacylation for protein translation;GO:0006433|prolyl-tRNA aminoacylation","PF00587.20|tRNA-synt_2b;PF09180.6|ProRS-C_1;PF03129.15|HGTP_anticodon","",NA,"Up","Up","Down"
"Ophio5|108","GO:0004571|mannosyl-oligosaccharide 1,2-alpha-mannosidase activity;GO:0016020|membrane;GO:0005509|calcium ion binding","PF01532.15|Glyco_hydro_47","",1,"Up","Up","Down"
"Ophio5|1080","GO:0044267|cellular protein metabolic process;GO:0005524|ATP binding","PF00118.19|Cpn60_TCP1","",NA,"Up","Up","Down"
"Ophio5|1081","GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0008121|ubiquinol-cytochrome-c reductase activity;GO:0051537|2 iron, 2 sulfur cluster binding","PF00355.21|Rieske;PF02921.9|UCR_TM","",NA,"Up","Up","Up"
"Ophio5|1082","GO:0003676|nucleic acid binding;GO:0005634|nucleus","PF10433.4|MMS1_N;PF03178.10|CPSF_A","",NA,"Up","Down","Down"
"Ophio5|1083","","","",NA,"Down","Down","Down"
"Ophio5|1084","","","",1,"Up","Up","Down"
"Ophio5|1085","GO:0016757|transferase activity, transferring glycosyl groups;GO:0016020|membrane","PF02434.11|Fringe;PF04646.7|DUF604","",1,"Up","Up","Down"
"Ophio5|1086","","PF08153.7|NGP1NT","",NA,"Up","Down","Down"
"Ophio5|1087","","","",1,"Down","Down","Down"
"Ophio5|1088","","","",NA,"Up","Up","Down"
"Ophio5|1089","","PF10021.4|DUF2263","",NA,"Down","Down","Down"
"Ophio5|109","","","",NA,"Up","Up","Down"
"Ophio5|1090","","PF12537.3|DUF3735;PF12430.3|ABA_GPCR","",5,"Down","Down","Down"
"Ophio5|1091","","","",NA,"Down","Down","="
"Ophio5|1092","","","",NA,"Down","Down","Up"
"Ophio5|1093","GO:0043086|negative regulation of catalytic activity;GO:0042802|identical protein binding;GO:0006508|proteolysis;GO:0004252|serine-type endopeptidase activity","PF00082.17|Peptidase_S8;PF05922.11|Inhibitor_I9","SignalP: has predicted secretion signal",NA,"Down","Down","Up"
"Ophio5|1094","","","SignalP: has predicted secretion signal",NA,"Up","Up","Up"
"Ophio5|1095","","","",NA,"Up","Up","Up"
"Ophio5|1096","","PF07993.7|NAD_binding_4","",NA,"Up","Up","Down"
"Ophio5|1097","","","",NA,"Down","Up","Up"
"Ophio5|1098","","","",NA,"Up","Up","Up"
"Ophio5|1099","","","",NA,"Down","Down","Up"
"Ophio5|11","","","",NA,"Down","Down","Down"
"Ophio5|110","","PF02466.14|Tim17","",1,"Up","Up","Down"
"Ophio5|1100","","","",NA,"Down","Down","Up"
"Ophio5|1101","","","",7,"Down","Down","Down"
"Ophio5|1102","GO:0003676|nucleic acid binding","PF00076.17|RRM_1;PF14259.1|RRM_6;PF13893.1|RRM_5","",NA,"Down","Up","Up"
"Ophio5|1103","GO:0016021|integral component of membrane;GO:0055085|transmembrane transport","PF07690.11|MFS_1;PF07690.11|MFS_1","",12,"Up","Up","Down"
"Ophio5|1104","","PF05730.6|CFEM","SignalP: has predicted secretion signal",7,"Up","Up","Down"
"Ophio5|1105","","","",NA,"Down","Down","Down"
"Ophio5|1106","GO:0016021|integral component of membrane;GO:0055085|transmembrane transport","PF07690.11|MFS_1","",14,"Down","Up","Up"
"Ophio5|1107","","PF01494.14|FAD_binding_3;PF13450.1|NAD_binding_8;PF00890.19|FAD_binding_2","",1,"Down","Down","Down"
"Ophio5|1108","","PF10000.4|ACT_3;PF13518.1|HTH_28;PF13551.1|HTH_29;PF13840.1|ACT_7;PF13384.1|HTH_23","",2,"Down","Down","Up"
"Ophio5|1109","","PF06884.6|DUF1264","",NA,"Down","Down","Down"
"Ophio5|111","","PF04193.9|PQ-loop;PF04193.9|PQ-loop","",7,"Up","Down","Down"
"Ophio5|1110","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"=","=","="
"Ophio5|1111","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Up","Up"
"Ophio5|1112","","","",NA,"Up","Up","Up"
"Ophio5|1113","","","",NA,"Down","Down","Up"
"Ophio5|1114","","","",NA,"Down","Down","Down"
"Ophio5|1115","","","",NA,"Down","Down","Down"
"Ophio5|1116","","","",NA,"Up","Up","Down"
"Ophio5|1117","","","",NA,"Up","Up","Down"
"Ophio5|1118","","","",NA,"Up","Up","Down"
"Ophio5|1119","GO:0003899|DNA-directed RNA polymerase activity;GO:0003677|DNA binding;GO:0006351|transcription, DNA-templated","PF01194.12|RNA_pol_N","",NA,"Down","Down","Up"
"Ophio5|112","GO:0046872|metal ion binding;GO:0016787|hydrolase activity","PF00293.23|NUDIX;PF09296.6|NUDIX-like;PF09297.6|zf-NADH-PPase","",NA,"Down","Down","Down"
"Ophio5|1120","GO:0016706|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors;GO:0055114|oxidation-reduction process;GO:0005515|protein binding;GO:0016491|oxidoreductase activity","PF14226.1|DIOX_N;PF03171.15|2OG-FeII_Oxy;PF00400.27|WD40","",NA,"Up","Up","Up"
"Ophio5|1121","","","",NA,"Up","Up","Down"
"Ophio5|1122","","PF12708.2|Pectate_lyase_3;PF12708.2|Pectate_lyase_3","SignalP: has predicted secretion signal",NA,"Down","Down","Down"
"Ophio5|1123","GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation","PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr","",NA,"Up","Down","Down"
"Ophio5|1124","GO:0003676|nucleic acid binding","PF00076.17|RRM_1;PF00076.17|RRM_1;PF00076.17|RRM_1;PF00076.17|RRM_1;PF00076.17|RRM_1;PF14259.1|RRM_6;PF14259.1|RRM_6;PF14259.1|RRM_6;PF14259.1|RRM_6;PF14259.1|RRM_6;PF13893.1|RRM_5;PF13893.1|RRM_5","",NA,"Up","Up","Up"
"Ophio5|1125","GO:0005634|nucleus;GO:0006355|regulation of transcription, DNA-templated;GO:0003700|sequence-specific DNA binding transcription factor activity","PF01285.13|TEA","",NA,"Up","Up","Down"
"Ophio5|1126","","","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|1127","GO:0003755|peptidyl-prolyl cis-trans isomerase activity;GO:0006457|protein folding","PF00160.16|Pro_isomerase","",NA,"Up","Up","Down"
"Ophio5|1128","","","",2,"Down","Down","Down"
"Ophio5|1129","","","",NA,"Up","Up","Up"
"Ophio5|113","","","",NA,"Up","Down","Down"
"Ophio5|1130","GO:0005737|cytoplasm;GO:0000045|autophagic vacuole assembly","PF02991.11|Atg8;PF04110.8|APG12","",NA,"Up","Down","Down"
"Ophio5|1131","","PF08572.5|PRP3;PF06544.7|DUF1115","",NA,"Down","Down","Down"
"Ophio5|1132","","","",NA,"Up","Up","Up"
"Ophio5|1133","","","",1,"Up","Down","Down"
"Ophio5|1134","","","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|1135","GO:0016787|hydrolase activity","PF00293.23|NUDIX","",NA,"Up","Up","Up"
"Ophio5|1136","GO:0004601|peroxidase activity;GO:0006979|response to oxidative stress;GO:0055114|oxidation-reduction process;GO:0020037|heme binding","PF00141.18|peroxidase","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|1137","","","",NA,"Down","Down","="
"Ophio5|1138","","","",NA,"Down","Down","="
"Ophio5|1139","","","",NA,"Down","Down","="
"Ophio5|114","","PF08538.5|DUF1749;PF12697.2|Abhydrolase_6;PF12695.2|Abhydrolase_5","",NA,"Down","Down","Down"
"Ophio5|1140","GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation","PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr","",NA,"Down","Down","Down"
"Ophio5|1141","","","",NA,"Down","Down","Down"
"Ophio5|1142","","","",NA,"Down","Down","Down"
"Ophio5|1143","GO:0008270|zinc ion binding","PF01529.15|zf-DHHC","",4,"Up","Up","Down"
"Ophio5|1144","GO:0006289|nucleotide-excision repair;GO:0005634|nucleus;GO:0003684|damaged DNA binding","PF03835.10|Rad4;PF01841.14|Transglut_core","",NA,"Up","Up","Up"
"Ophio5|1145","","","",NA,"Up","Up","Up"
"Ophio5|1146","","","SignalP: has predicted secretion signal; SSP: small secreted protein",NA,"Up","Up","Up"
"Ophio5|1147","","PF13091.1|PLDc_2","",NA,"Down","Up","Up"
"Ophio5|1148","GO:0030131|clathrin adaptor complex;GO:0005515|protein binding;GO:0006886|intracellular protein transport;GO:0016192|vesicle-mediated transport","PF00928.16|Adap_comp_sub;PF01217.15|Clat_adaptor_s","",NA,"Up","Up","Down"
"Ophio5|1149","","","",NA,"Down","Down","Down"
"Ophio5|115","GO:0016887|ATPase activity;GO:0016021|integral component of membrane;GO:0055085|transmembrane transport;GO:0005524|ATP binding;GO:0042626|ATPase activity, coupled to transmembrane movement of substances;GO:0006810|transport","PF00664.18|ABC_membrane;PF00664.18|ABC_membrane;PF00005.22|ABC_tran;PF00005.22|ABC_tran","",11,"Up","Up","Down"
"Ophio5|1150","GO:0008276|protein methyltransferase activity;GO:0008610|lipid biosynthetic process;GO:0008152|metabolic process;GO:0006479|protein methylation;GO:0005737|cytoplasm;GO:0008168|methyltransferase activity","PF13489.1|Methyltransf_23;PF13847.1|Methyltransf_31;PF08241.7|Methyltransf_11;PF08242.7|Methyltransf_12;PF12847.2|Methyltransf_18;PF13659.1|Methyltransf_26;PF13649.1|Methyltransf_25;PF08003.6|Methyltransf_9;PF06325.8|PrmA;PF01209.13|Ubie_methyltran;PF05175.9|MTS;PF02353.15|CMAS","",NA,"Up","Up","Up"
"Ophio5|1151","","PF04734.8|Ceramidase_alk","",1,"Down","Down","Down"
"Ophio5|1152","","PF01803.11|LIM_bind","",NA,"Down","Down","Down"
"Ophio5|1153","","","",2,"Down","Down","Down"
"Ophio5|1154","GO:0006000|fructose metabolic process;GO:0003873|6-phosphofructo-2-kinase activity;GO:0005524|ATP binding","PF01591.13|6PF2K;PF00300.17|His_Phos_1;PF13671.1|AAA_33","",NA,"Down","Down","Down"
"Ophio5|1155","GO:0006508|proteolysis;GO:0004190|aspartic-type endopeptidase activity","PF00026.18|Asp","SignalP: has predicted secretion signal",NA,"Down","Down","Down"
"Ophio5|1156","","","",NA,"Down","Down","Down"
"Ophio5|1157","GO:0003723|RNA binding","PF00013.24|KH_1;PF00013.24|KH_1;PF00013.24|KH_1;PF13014.1|KH_3;PF13014.1|KH_3;PF13014.1|KH_3","",NA,"Up","Down","Down"
"Ophio5|1158","","","",NA,"Down","Down","Down"
"Ophio5|1159","GO:0005515|protein binding","PF11816.3|DUF3337;PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40;PF00400.27|WD40","",NA,"Up","Up","Down"
"Ophio5|116","","","",NA,"Up","Up","Down"
"Ophio5|1160","","PF00153.22|Mito_carr;PF00153.22|Mito_carr;PF00153.22|Mito_carr","",NA,"Up","Up","Down"
"Ophio5|1161","","","",NA,"Down","Down","Down"
"Ophio5|1162","","PF14618.1|DUF4452","",NA,"Up","Down","Down"
"Ophio5|1163","","","",NA,"Up","Down","Down"
"Ophio5|1164","","PF00134.18|Cyclin_N","",NA,"Up","Up","Down"
"Ophio5|1165","GO:0005509|calcium ion binding","PF00153.22|Mito_carr;PF00153.22|Mito_carr;PF00153.22|Mito_carr;PF13499.1|EF-hand_7;PF13499.1|EF-hand_7;PF00036.27|EF-hand_1;PF13405.1|EF-hand_6;PF13405.1|EF-hand_6;PF13202.1|EF-hand_5;PF13202.1|EF-hand_5;PF13202.1|EF-hand_5;PF13833.1|EF-hand_8;PF13833.1|EF-hand_8","",NA,"Down","Up","Up"
"Ophio5|1166","","","",NA,"Up","Down","Down"
"Ophio5|1167","","PF01171.15|ATP_bind_3;PF01171.15|ATP_bind_3","",NA,"Up","Up","Down"
"Ophio5|1168","","","",NA,"Down","Down","Down"
"Ophio5|1169","GO:0016020|membrane","PF04893.12|Yip1","",5,"Down","Down","Up"
"Ophio5|117","GO:0007031|peroxisome organization;GO:0005779|integral component of peroxisomal membrane","PF04882.7|Peroxin-3","",2,"Down","Up","Up"
"Ophio5|1170","","","",NA,"Up","Down","Down"
"Ophio5|1171","","PF03416.14|Peptidase_C54","",NA,"Down","Down","Down"
"Ophio5|1172","","PF10224.4|DUF2205","",NA,"Up","Up","Down"
"Ophio5|1173","","PF05686.7|Glyco_transf_90","",1,"Up","Up","Down"
"Ophio5|1174","","","",NA,"Up","Up","Down"
"Ophio5|1175","GO:0008270|zinc ion binding","PF01428.11|zf-AN1","",NA,"Up","Up","Down"
"Ophio5|1176","GO:0003677|DNA binding;GO:0006284|base-excision repair","PF00730.20|HhH-GPD;PF00633.18|HHH","",NA,"Up","Up","Down"
"Ophio5|1177","GO:0005506|iron ion binding;GO:0055114|oxidation-reduction process;GO:0016705|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;GO:0020037|heme binding","PF00067.17|p450","SignalP: has predicted secretion signal",2,"Up","Up","Down"
"Ophio5|1178","GO:0016491|oxidoreductase activity;GO:0008270|zinc ion binding;GO:0055114|oxidation-reduction process","PF08240.7|ADH_N;PF00107.21|ADH_zinc_N","",NA,"Down","Down","Up"
"Ophio5|1179","","","",NA,"Up","Up","Down"
"Ophio5|118","GO:0006888|ER to Golgi vesicle-mediated transport;GO:0005801|cis-Golgi network","PF04099.7|Sybindin","",NA,"Up","Up","Up"
"Ophio5|1180","","PF07575.8|Nucleopor_Nup85","",NA,"Up","Up","Up"
"Ophio5|1181","GO:0008152|metabolic process","PF00330.15|Aconitase;PF00694.14|Aconitase_C","",NA,"Up","Up","Up"
"Ophio5|1182","","","",NA,"Down","Down","Up"
"Ophio5|1183","GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation","PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr","",NA,"Down","Down","Up"
"Ophio5|1184","GO:0005525|GTP binding;GO:0003924|GTPase activity","PF00350.18|Dynamin_N;PF01031.15|Dynamin_M;PF02212.13|GED","",NA,"Down","Down","Down"
"Ophio5|1185","","PF09495.5|DUF2462","",NA,"Up","Up","Down"
"Ophio5|1186","GO:0020037|heme binding","PF00173.23|Cyt-b5","",NA,"Up","Up","Down"
"Ophio5|1187","GO:0006508|proteolysis;GO:0004222|metalloendopeptidase activity;GO:0016020|membrane","PF01435.13|Peptidase_M48","",2,"Up","Down","Down"
"Ophio5|1188","","","",NA,"Down","Down","Down"
"Ophio5|1189","","PF10270.4|MMgT","SignalP: has predicted secretion signal",2,"Down","Down","Down"
"Ophio5|119","GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation","PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr;PF14531.1|Kinase-like","",NA,"Down","Down","Up"
"Ophio5|1190","GO:0005975|carbohydrate metabolic process;GO:0004650|polygalacturonase activity","PF00295.12|Glyco_hydro_28","SignalP: has predicted secretion signal",NA,"Down","Down","Up"
"Ophio5|1191","GO:0003854|3-beta-hydroxy-delta5-steroid dehydrogenase activity;GO:0016491|oxidoreductase activity;GO:0055114|oxidation-reduction process;GO:0044237|cellular metabolic process;GO:0008152|metabolic process;GO:0050662|coenzyme binding;GO:0006694|steroid biosynthetic process;GO:0003824|catalytic activity;GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","PF05368.8|NmrA;PF13460.1|NAD_binding_10;PF01370.16|Epimerase;PF01073.14|3Beta_HSD;PF00106.20|adh_short","",NA,"Down","Down","Down"
"Ophio5|1192","GO:0016021|integral component of membrane;GO:0055085|transmembrane transport;GO:0022857|transmembrane transporter activity","PF07690.11|MFS_1;PF00083.19|Sugar_tr","",3,"Down","Down","Up"
"Ophio5|1193","","","",NA,"Down","Down","Down"
"Ophio5|1194","","","",NA,"Up","Down","Down"
"Ophio5|1195","","PF06244.7|DUF1014","",NA,"Up","Down","Down"
"Ophio5|1196","GO:0016881|acid-amino acid ligase activity","PF00179.21|UQ_con","",NA,"Down","Down","Down"
"Ophio5|1197","GO:0006629|lipid metabolic process","PF00027.24|cNMP_binding;PF00027.24|cNMP_binding;PF01734.17|Patatin","",2,"Up","Up","Up"
"Ophio5|1198","GO:0000166|nucleotide binding","PF03029.12|ATP_bind_1","",NA,"Down","Down","Up"
"Ophio5|1199","GO:0008033|tRNA processing;GO:0004540|ribonuclease activity","PF01900.14|RNase_P_Rpp14","",NA,"Up","Down","Down"
"Ophio5|12","","","SignalP: has predicted secretion signal",NA,"Up","Up","Down"
"Ophio5|120","GO:0005524|ATP binding;GO:0004672|protein kinase activity;GO:0006468|protein phosphorylation","PF00069.20|Pkinase;PF07714.12|Pkinase_Tyr","",NA,"Down","Down","Down"
