#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","JAACLJ010000006.1",895297,896124,"-",,,"GQ602_005623","KAF4584250.1",254,"syntaxin 8"
"Un","JAACLJ010000006.1",981480,984341,"+",,,"GQ602_005624","KAF4584251.1",487,"Tryptophan synthase"
"Un","JAACLJ010000006.1",1000674,1003446,"+",,,"GQ602_005625","KAF4584252.1",342,"GPI ethanolamine phosphate transferase 1"
"Un","JAACLJ010000006.1",1031112,1035686,"+",,,"GQ602_005626","KAF4584253.1",1042,"Sec7 domain-containing protein"
"Un","JAACLJ010000006.1",1036059,1037741,"-",,,"GQ602_005627","KAF4584254.1",473,"mannan polymerase II complex ANP1 subunit"
"Un","JAACLJ010000006.1",1058487,1059703,"+",,,"GQ602_005628","KAF4584255.1",327,"ATPase family AAA domain-containing protein 1"
"Un","JAACLJ010000006.1",1081205,1084041,"+",,,"GQ602_005629","KAF4584256.1",774,"JmjC domain-containing protein"
"Un","JAACLJ010000006.1",1154995,1156304,"-",,,"GQ602_005630","KAF4584257.1",271,"Protein GVP36"
"Un","JAACLJ010000006.1",1241666,1242242,"-",,,"GQ602_005631","KAF4584258.1",152,"hypothetical protein GQ602_005631"
"Un","JAACLJ010000006.1",1262177,1263752,"+",,,"GQ602_005632","KAF4584259.1",174,"hypothetical protein GQ602_005632"
"Un","JAACLJ010000006.1",1264839,1265575,"+",,,"GQ602_005633","KAF4584260.1",165,"60S ribosomal protein L12"
"Un","JAACLJ010000006.1",1313989,1314845,"+",,,"GQ602_005634","KAF4584261.1",223,"hypothetical protein GQ602_005634"
"Un","JAACLJ010000006.1",1377051,1379075,"+",,,"GQ602_005635","KAF4584262.1",633,"FKH1-like protein"
"Un","JAACLJ010000006.1",1379609,1383575,"-",,,"GQ602_005636","KAF4584263.1",1249,"GSKIP/TIF31 domain protein"
"Un","JAACLJ010000006.1",1416927,1419040,"-",,,"GQ602_005637","KAF4584264.1",601,"DEAD/DEAH box helicase"
"Un","JAACLJ010000006.1",1490481,1490866,"+",,,"GQ602_005638","KAF4584265.1",110,"peptidylprolyl isomerase"
"Un","JAACLJ010000006.1",1491174,1491640,"-",,,"GQ602_005639","KAF4584266.1",129,"integral membrane protein"
"Un","JAACLJ010000006.1",1492207,1492531,"-",,,"GQ602_005640","KAF4584267.1",73,"integral membrane protein"
"Un","JAACLJ010000006.1",1530626,1532691,"+",,,"GQ602_005641","KAF4584268.1",573,"Poly(A) polymerase"
"Un","JAACLJ010000006.1",1533277,1537059,"-",,,"GQ602_005642","KAF4584269.1",806,"Protein DML1"
"Un","JAACLJ010000006.1",1537678,1538717,"+",,,"GQ602_005643","KAF4584270.1",328,"Negative regulator of the PHO system"
"Un","JAACLJ010000006.1",1629406,1630530,"-",,,"GQ602_005644","KAF4584271.1",337,"Lysophosphatidylcholine acyltransferase"
"Un","JAACLJ010000006.1",1670121,1670972,"+",,,"GQ602_005645","KAF4584272.1",229,"Exocyst complex protein EXO70"
"Un","JAACLJ010000006.1",1826234,1827433,"+",,,"GQ602_005646","KAF4584273.1",300,"zinc finger containing protein"
"Un","JAACLJ010000006.1",1841844,1844017,"-",,,"GQ602_005647","KAF4584274.1",360,"peroxisomal adenine nucleotide transporter 1"
"Un","JAACLJ010000006.1",1844347,1845735,"-",,,"GQ602_005648","KAF4584275.1",403,"SAGA-associated factor 73"
"Un","JAACLJ010000006.1",1887131,1888117,"+",,,"GQ602_005649","KAF4584276.1",286,"glycine-rich cell wall structural protein 1"
"Un","JAACLJ010000006.1",1889052,1892727,"-",,,"GQ602_005650","KAF4584277.1",1154,"Ras guanine nucleotide exchange factor"
"Un","JAACLJ010000006.1",1902018,1904661,"+",,,"GQ602_005651","KAF4584278.1",805,"C2H2 finger domain-containing protein"
"Un","JAACLJ010000006.1",1906488,1907440,"+",,,"GQ602_005652","KAF4584279.1",300,"glycoside hydrolase family 16 protein"
"Un","JAACLJ010000006.1",1908115,1909266,"+",,,"GQ602_005653","KAF4584280.1",383,"CBM6-containing protein"
"Un","JAACLJ010000006.1",1909597,1911917,"-",,,"GQ602_005654","KAF4584281.1",611,"Peptidyl-prolyl cis-trans isomerase-like 2"
"Un","JAACLJ010000006.1",1912308,1914566,"+",,,"GQ602_005655","KAF4584282.1",570,"lung seven transmembrane receptor domain-containing protein"
"Un","JAACLJ010000006.1",1914802,1916163,"-",,,"GQ602_005656","KAF4584283.1",414,"DUF185 domain-containing protein"
"Un","JAACLJ010000006.1",1916806,1918230,"+",,,"GQ602_005657","KAF4584284.1",474,"cyclin-dependent kinase G-1"
"Un","JAACLJ010000006.1",1918751,1919668,"-",,,"GQ602_005658","KAF4584285.1",288,"SSCRP protein"
"Un","JAACLJ010000006.1",1920638,1922999,"-",,,"GQ602_005659","KAF4584286.1",714,"mRNA decapping protein 2, Box A"
"Un","JAACLJ010000006.1",1923868,1924783,"+",,,"GQ602_005660","KAF4584287.1",269,"PH domain-containing protein"
"Un","JAACLJ010000006.1",1926639,1928063,"+",,,"GQ602_005661","KAF4584288.1",416,"Ribonucleoside-diphosphate reductase small chain"
"Un","JAACLJ010000006.1",1928450,1929001,"-",,,"GQ602_005662","KAF4584289.1",164,"WD repeat protein"
"Un","JAACLJ010000006.1",1929359,1930652,"-",,,"GQ602_005663","KAF4584290.1",384,"WD repeat containing protein 82"
"Un","JAACLJ010000006.1",1931409,1932541,"+",,,"GQ602_005664","KAF4584291.1",245,"Mitochondrial oxaloacetate transport protein"
"Un","JAACLJ010000006.1",1932750,1933963,"-",,,"GQ602_005665","KAF4584292.1",385,"thiouridylase subunit 2"
"Un","JAACLJ010000006.1",1935243,1936493,"+",,,"GQ602_005666","KAF4584293.1",396,"putative PH domain-containing protein PB16A4.02c"
"Un","JAACLJ010000006.1",1937525,1938811,"+",,,"GQ602_005667","KAF4584294.1",428,"cellulase family protein"
"Un","JAACLJ010000006.1",1939097,1940367,"-",,,"GQ602_005668","KAF4584295.1",383,"hypothetical protein GQ602_005668"
"Un","JAACLJ010000006.1",1940564,1943100,"+",,,"GQ602_005669","KAF4584296.1",542,"nuclear and cytoplasmic polyadenylated RNA-binding protein pub1"
"Un","JAACLJ010000006.1",1945317,1948293,"+",,,"GQ602_005670","KAF4584297.1",884,"kinase domain containing protein"
"Un","JAACLJ010000006.1",1949325,1950452,"-",,,"GQ602_005671","KAF4584298.1",295,"pentatricopeptide repeat protein"
"Un","JAACLJ010000006.1",1950848,1953168,"+",,,"GQ602_005672","KAF4584299.1",701,"pentatricopeptide repeat protein"
"Un","JAACLJ010000006.1",1953328,1955245,"-",,,"GQ602_005673","KAF4584300.1",464,"Mss4-like protein"
"Un","JAACLJ010000006.1",1955919,1960518,"+",,,"GQ602_005674","KAF4584301.1",1427,"DNA polymerase (pol2)"
"Un","JAACLJ010000006.1",1961326,1966151,"-",,,"GQ602_005675","KAF4584302.1",1426,"translation initiation factor 4g"
"Un","JAACLJ010000006.1",1969464,1974041,"-",,,"GQ602_005676","KAF4584303.1",1448,"DEAD helicases superfamily protein (Aquarius)"
"Un","JAACLJ010000006.1",1974747,1977239,"-",,,"GQ602_005677","KAF4584304.1",665,"multicopper oxidase"
"Un","JAACLJ010000006.1",1977369,1978612,"+",,,"GQ602_005678","KAF4584305.1",356,"Iron permease FTR1"
"Un","JAACLJ010000006.1",1978769,1980156,"-",,,"GQ602_005679","KAF4584306.1",443,"proteinrelated to hydroxyproline-rich glycoprotein"
"Un","JAACLJ010000006.1",1980550,1982112,"+",,,"GQ602_005680","KAF4584307.1",520,"protein phosphatase"
"Un","JAACLJ010000006.1",1982487,1985086,"-",,,"GQ602_005681","KAF4584308.1",816,"Heterokaryon incompatibility protein Het-C"
"Un","JAACLJ010000006.1",1986833,1987921,"+",,,"GQ602_005682","KAF4584309.1",362,"orotidine-5\\'-phosphate decarboxylase"
"Un","JAACLJ010000006.1",1989051,1991315,"+",,,"GQ602_005683","KAF4584310.1",754,"3-carboxymuconate cyclase"
"Un","JAACLJ010000006.1",1992321,1993504,"+",,,"GQ602_005684","KAF4584311.1",374,"inositolphosphorylceramide-B C-26 hydroxylase"
"Un","JAACLJ010000006.1",1994158,1996152,"+",,,"GQ602_005685","KAF4584312.1",566,"RNA splicing factor Pad-1"
"Un","JAACLJ010000006.1",1997376,1999517,"+",,,"GQ602_005686","KAF4584313.1",647,"chromosome segregation protein SMC-like"
"Un","JAACLJ010000006.1",2000026,2000835,"-",,,"GQ602_005687","KAF4584314.1",269,"von Willebrand factor"
"Un","JAACLJ010000006.1",2001562,2003358,"-",,,"GQ602_005688","KAF4584315.1",473,"aminotransferase, classes I and II"
"Un","JAACLJ010000006.1",2003991,2004952,"+",,,"GQ602_005689","KAF4584316.1",197,"putative fungal specific transcription protein"
"Un","JAACLJ010000006.1",2005343,2006468,"-",,,"GQ602_005690","KAF4584317.1",271,"Regulatory protein cys-3"
"Un","JAACLJ010000006.1",2007649,2009193,"+",,,"GQ602_005691","KAF4584318.1",514,"CHL4-like protein"
"Un","JAACLJ010000006.1",2009271,2010888,"-",,,"GQ602_005692","KAF4584319.1",500,"hypothetical protein GQ602_005692"
"Un","JAACLJ010000006.1",2011659,2014587,"+",,,"GQ602_005693","KAF4584320.1",914,"ribonucleoside-diphosphate reductase large chain"
"Un","JAACLJ010000006.1",2017936,2018676,"+",,,"GQ602_005694","KAF4584321.1",186,"CFEM domain-containing protein"
"Un","JAACLJ010000006.1",2019902,2020551,"-",,,"GQ602_005695","KAF4584322.1",186,"putative CAP20-virulence factor"
"Un","JAACLJ010000006.1",2023686,2025080,"+",,,"GQ602_005696","KAF4584323.1",464,"FAD dependent oxidoreductase"
"Un","JAACLJ010000006.1",2027621,2030349,"+",,,"GQ602_005697","KAF4584324.1",881,"DENN domain-containing protein"
"Un","JAACLJ010000006.1",2031018,2032052,"+",,,"GQ602_005698","KAF4584325.1",344,"HIT zinc finger"
"Un","JAACLJ010000006.1",2032828,2035092,"+",,,"GQ602_005699","KAF4584326.1",754,"Exocyst complex component sec6"
"Un","JAACLJ010000006.1",2035324,2038925,"-",,,"GQ602_005700","KAF4584327.1",1029,"EF hand domain protein"
"Un","JAACLJ010000006.1",2039788,2041273,"+",,,"GQ602_005701","KAF4584328.1",468,"Glutathione reductase"
"Un","JAACLJ010000006.1",2042527,2043516,"+",,,"GQ602_005702","KAF4584329.1",329,"extracellular serine-rich protein"
"Un","JAACLJ010000006.1",2043707,2044219,"-",,,"GQ602_005703","KAF4584330.1",170,"hypothetical protein GQ602_005703"
"Un","JAACLJ010000006.1",2044600,2045800,"-",,,"GQ602_005704","KAF4584331.1",331,"putative metalloprotease MEP1"
"Un","JAACLJ010000006.1",2051898,2052407,"+",,,"GQ602_005705","KAF4584332.1",169,"life-span regulatory factor domain-containing protein"
"Un","JAACLJ010000006.1",2056699,2058652,"+",,,"GQ602_005706","KAF4584333.1",540,"T-complex protein 1 subunit gamma"
"Un","JAACLJ010000006.1",2059020,2059685,"-",,,"GQ602_005707","KAF4584334.1",221,"hypothetical protein GQ602_005707"
"Un","JAACLJ010000006.1",2060306,2061788,"+",,,"GQ602_005708","KAF4584335.1",444,"phosphoglycerate mutase family domain protein"
"Un","JAACLJ010000006.1",2062476,2068375,"-",,,"GQ602_005709","KAF4584336.1",1894,"autoinducer 2 sensor kinase/phosphatase luxQ"
"Un","JAACLJ010000006.1",2070760,2071592,"-",,,"GQ602_005710","KAF4584337.1",254,"hypothetical protein GQ602_005710"
"Un","JAACLJ010000006.1",2072240,2073412,"+",,,"GQ602_005711","KAF4584338.1",352,"Allantoicase"
"Un","JAACLJ010000006.1",2073997,2076632,"+",,,"GQ602_005712","KAF4584339.1",812,"DIL and Ankyrin domain containing protein"
"Un","JAACLJ010000006.1",2078741,2081005,"+",,,"GQ602_005713","KAF4584340.1",707,"TBC domain-containing protein"
"Un","JAACLJ010000006.1",2082423,2083298,"-",,,"GQ602_005714","KAF4584341.1",291,"hypothetical protein GQ602_005714"
"Un","JAACLJ010000006.1",2087307,2095356,"-",,,"GQ602_005715","KAF4584342.1",2629,"putative histidine kinase HHK1p"
"Un","JAACLJ010000006.1",2096720,2098599,"-",,,"GQ602_005716","KAF4584343.1",523,"UDP-galactopyranose mutase"
"Un","JAACLJ010000006.1",2102091,2103481,"+",,,"GQ602_005717","KAF4584344.1",404,"triose phosphate/3-phosphoglycerate/phosphate translocator"
"Un","JAACLJ010000006.1",2104194,2104897,"-",,,"GQ602_005718","KAF4584345.1",135,"60S ribosomal protein L27-A"
"Un","JAACLJ010000006.1",2105533,2106330,"-",,,"GQ602_005719","KAF4584346.1",265,"Tetratricopeptide repeat protein 36 -like protein"
"Un","JAACLJ010000006.1",2106876,2108114,"+",,,"GQ602_005720","KAF4584347.1",412,"4-hydroxyphenylpyruvate dioxygenase"
"Un","JAACLJ010000006.1",2108700,2110237,"-",,,"GQ602_005721","KAF4584348.1",471,"transcription initiation factor TFIIH subunit 2"
"Un","JAACLJ010000006.1",2111200,2112368,"-",,,"GQ602_005722","KAF4584349.1",295,"chitin synthase export chaperone"
"Un","JAACLJ010000006.1",2113435,2116743,"+",,,"GQ602_005723","KAF4584350.1",705,"sugar porter (SP) family MFS transporter"
"Un","JAACLJ010000006.1",2117279,2117740,"+",,,"GQ602_005724","KAF4584351.1",133,"complex 1 protein (LYR family) domain-containing protein"
"Un","JAACLJ010000006.1",2117855,2118564,"-",,,"GQ602_005725","KAF4584352.1",197,"mitochondrial iron uptake protein"
"Un","JAACLJ010000006.1",2118979,2119618,"+",,,"GQ602_005726","KAF4584353.1",188,"AP-3 complex subunit sigma"
"Un","JAACLJ010000006.1",2119707,2120268,"-",,,"GQ602_005727","KAF4584354.1",149,"hypothetical protein GQ602_005727"
"Un","JAACLJ010000006.1",2120610,2124049,"+",,,"GQ602_005728","KAF4584355.1",1126,"leucyl-tRNA synthetase"
"Un","JAACLJ010000006.1",2126285,2126618,"+",,,"GQ602_005729","KAF4584356.1",90,"hypothetical protein GQ602_005729"
"Un","JAACLJ010000006.1",2127135,2127453,"-",,,"GQ602_005730","KAF4584357.1",87,"diphthamide biosynthesis protein 3"
"Un","JAACLJ010000006.1",2127776,2130228,"+",,,"GQ602_005731","KAF4584358.1",711,"lipid transporter"
"Un","JAACLJ010000006.1",2131277,2135245,"+",,,"GQ602_005732","KAF4584359.1",1322,"hypothetical protein GQ602_005732"
"Un","JAACLJ010000006.1",2135957,2136436,"+",,,"GQ602_005733","KAF4584360.1",159,"hypothetical protein GQ602_005733"
"Un","JAACLJ010000006.1",2137546,2140306,"+",,,"GQ602_005734","KAF4584361.1",524,"hypothetical protein GQ602_005734"
"Un","JAACLJ010000006.1",2141054,2141416,"+",,,"GQ602_005735","KAF4584362.1",120,"hypothetical protein GQ602_005735"
"Un","JAACLJ010000006.1",2141758,2147953,"-",,,"GQ602_005736","KAF4584363.1",2038,"putative dock180 protein"
"Un","JAACLJ010000006.1",2148039,2148744,"-",,,"GQ602_005737","KAF4584364.1",117,"hypothetical protein GQ602_005737"
"Un","JAACLJ010000006.1",2149623,2150327,"+",,,"GQ602_005738","KAF4584365.1",234,"Acyl-CoA N-acyltransferase"
"Un","JAACLJ010000006.1",2150645,2151391,"-",,,"GQ602_005739","KAF4584366.1",213,"40S ribosomal protein S5"
"Un","JAACLJ010000006.1",2151723,2152129,"+",,,"GQ602_005740","KAF4584367.1",95,"40S ribosomal protein S25"
"Un","JAACLJ010000006.1",2153527,2154847,"+",,,"GQ602_005741","KAF4584368.1",315,"ADP,ATP carrier protein"
"Un","JAACLJ010000006.1",2155665,2156134,"+",,,"GQ602_005742","KAF4584369.1",137,"CENP-S complex, centromere protein X"
"Un","JAACLJ010000006.1",2157473,2158114,"+",,,"GQ602_005743","KAF4584370.1",213,"extracellular serine-rich protein"
"Un","JAACLJ010000006.1",2158591,2159408,"-",,,"GQ602_005744","KAF4584371.1",251,"Cytochrome b5"
"Un","JAACLJ010000006.1",2159866,2161483,"+",,,"GQ602_005745","KAF4584372.1",468,"PAP2 superfamily protein"
"Un","JAACLJ010000006.1",2162106,2163565,"-",,,"GQ602_005746","KAF4584373.1",419,"BTB/POZ domain-containing protein"
"Un","JAACLJ010000006.1",2163869,2165179,"-",,,"GQ602_005747","KAF4584374.1",391,"replication factor C subunit 3/5"
"Un","JAACLJ010000006.1",2165684,2167154,"-",,,"GQ602_005748","KAF4584375.1",463,"Carboxypeptidase Y"
"Un","JAACLJ010000006.1",2167804,2169564,"-",,,"GQ602_005749","KAF4584376.1",523,"hypothetical protein GQ602_005749"
"Un","JAACLJ010000006.1",2170304,2171327,"+",,,"GQ602_005750","KAF4584377.1",249,"3-ketoacyl-(acyl-carrier-protein) reductase"
"Un","JAACLJ010000006.1",2171334,2173693,"-",,,"GQ602_005751","KAF4584378.1",656,"Ubiquitin-activating enzyme E1-like protein"
"Un","JAACLJ010000006.1",2174583,2175885,"+",,,"GQ602_005752","KAF4584379.1",366,"hypothetical protein GQ602_005752"
"Un","JAACLJ010000006.1",2176208,2176930,"-",,,"GQ602_005753","KAF4584380.1",213,"DNA polymerase delta subunit 4"
"Un","JAACLJ010000006.1",2178438,2178812,"+",,,"GQ602_005754","KAF4584381.1",124,"hypothetical protein GQ602_005754"
"Un","JAACLJ010000006.1",2179387,2181486,"-",,,"GQ602_005755","KAF4584382.1",699,"ankyrin repeat-containing protein"
"Un","JAACLJ010000006.1",2182010,2182500,"+",,,"GQ602_005756","KAF4584383.1",143,"DUF636 domain protein"
"Un","JAACLJ010000006.1",2184003,2185133,"-",,,"GQ602_005757","KAF4584384.1",316,"WD40/YVTN repeat-like-containing domain protein"
"Un","JAACLJ010000006.1",2185406,2185837,"-",,,"GQ602_005758","KAF4584385.1",121,"hypothetical protein GQ602_005758"
"Un","JAACLJ010000006.1",2186409,2187579,"+",,,"GQ602_005759","KAF4584386.1",338,"Septin spn2"
"Un","JAACLJ010000006.1",2188033,2188779,"-",,,"GQ602_005760","KAF4584387.1",199,"Guanylate kinase"
"Un","JAACLJ010000006.1",2190281,2191885,"+",,,"GQ602_005761","KAF4584388.1",495,"1,3-beta-glucanosyltransferase gel2"
"Un","JAACLJ010000006.1",2192175,2192579,"-",,,"GQ602_005762","KAF4584389.1",134,"hypothetical protein GQ602_005762"
"Un","JAACLJ010000006.1",2193357,2194885,"-",,,"GQ602_005763","KAF4584390.1",489,"putative ATP-citrate synthase subunit 2"
"Un","JAACLJ010000006.1",2196176,2198225,"+",,,"GQ602_005764","KAF4584391.1",661,"ATP-citrate synthase subunit 1"
"Un","JAACLJ010000006.1",2198506,2198933,"+",,,"GQ602_005765","KAF4584392.1",83,"putative ribosomal protein L30"
"Un","JAACLJ010000006.1",2199550,2200701,"-",,,"GQ602_005766","KAF4584393.1",288,"hypothetical protein GQ602_005766"
"Un","JAACLJ010000006.1",2201249,2201794,"-",,,"GQ602_005767","KAF4584394.1",181,"histone acetylase complex subunit MRG15-2"
"Un","JAACLJ010000006.1",2202717,2206313,"+",,,"GQ602_005768","KAF4584395.1",1178,"L-aminoadipate-semialdehyde dehydrogenase"
"Un","JAACLJ010000006.1",2206788,2207372,"+",,,"GQ602_005769","KAF4584396.1",194,"hypothetical protein GQ602_005769"
"Un","JAACLJ010000006.1",2207603,2208506,"-",,,"GQ602_005770","KAF4584397.1",263,"peptidyl-tRNA hydrolase"
"Un","JAACLJ010000006.1",2208838,2210712,"+",,,"GQ602_005771","KAF4584398.1",566,"kinetochore protein fta7"
"Un","JAACLJ010000006.1",2211200,2211895,"-",,,"GQ602_005772","KAF4584399.1",231,"hypothetical protein GQ602_005772"
"Un","JAACLJ010000006.1",2213123,2215921,"-",,,"GQ602_005773","KAF4584400.1",895,"RNA polymerase II assembly factor RTP1"
"Un","JAACLJ010000006.1",2217953,2219617,"+",,,"GQ602_005774","KAF4584401.1",514,"DUF2183 domain protein"
