"ophio_gene","beau_gene","ophio_desc","beau_desc","ophcf2_protein","beau_protein","evalue_ab","bitscore_ab","evalue_ba","bitscore_ba"
"GQ602_006948","BBA_09169","hexose transport-related protein","Hexose transport-related protein, putative","KAF4580811.1","XP_008602488.1",0,765,0,765
"GQ602_006950","BBA_09136","A/G-specific adenine glycosylase","A/G-specific adenine glycosylase","KAF4580813.1","XP_008602455.1",0,542,1.42e-180,520
"GQ602_006951","BBA_09134","ADF-like domain-containing protein","cofilin/tropomyosin-type actin-binding protein","KAF4580814.1","XP_008602453.1",1.02e-75,220,6.54e-82,236
"GQ602_006952","BBA_09135","amino acid permease","polyamine transporter TPO5","KAF4580815.1","XP_008602454.1",0,685,0,685
"GQ602_006953","BBA_09163","protein phosphatase regulator","carbohydrate-binding module family 21","KAF4580816.1","XP_008602482.1",0,567,0,580
"GQ602_006955","BBA_07295","cytochrome P450 monooxygenase","Cytochrome P450 CYP578A2","KAF4580818.1","XP_008600614.1",3.71e-179,512,3.58e-173,497
"GQ602_006956","BBA_04068","Choline transporter-like protein","Choline transporter","KAF4580819.1","XP_008597387.1",0,623,0,593
"GQ602_006957","BBA_08395","hypothetical protein GQ602_006957","polysaccharide deacetylase","KAF4580820.1","XP_008601714.1",1.08e-85,258,1.04e-85,258
"GQ602_006958","BBA_05729","serine/threonine-protein kinase Sgk2","FunK1 protein kinase","KAF4580821.1","XP_008599048.1",6.87e-38,140,9.58e-38,140
"GQ602_006959","BBA_08391","thiamine pyrophosphate enzyme","thiamine pyrophosphate enzyme","KAF4580822.1","XP_008601710.1",0,676,0,679
"GQ602_006960","BBA_08389","cyclin-dependent protein kinase complex component (Pcl8)","Cyclin-related 2","KAF4580823.1","XP_008601708.1",2.17e-113,335,2.6e-114,337
"GQ602_006961","BBA_09138","hypothetical protein GQ602_006961","hypothetical protein BBA_09138","KAF4580824.1","XP_008602457.1",1.38e-25,103,4.83e-21,90.9
"GQ602_006962","BBA_02428","cytochrome P450","Cytochrome P450 CYP52G8","KAF4580825.1","XP_008595747.1",0,569,0,564
"GQ602_006967","BBA_09143","Ferric/cupric reductase transmembrane component 7","ferric reductase like transmembrane component","KAF4580830.1","XP_008602462.1",0,662,0,624
"GQ602_006968","BBA_09144","expression library immunization antigen 1","GPI anchored protein, putative","KAF4580831.1","XP_008602463.1",5.44e-70,211,3.32e-69,209
"GQ602_006970","BBA_04015","5\\',5\\'\\'\\'-P-1,P-4-tetraphosphate phosphorylase 2","Ap4A phosphorylase II","KAF4580833.1","XP_008597334.1",6.67e-86,260,5.1e-86,261
"GQ602_006973","BBA_00256","NAD-dependent epimerase/dehydratase","nucleoside-diphosphate-sugar epimerase","KAF4580836.1","XP_008593575.1",6.45e-16,77,4.24e-16,77
"GQ602_006975","BBA_08174","putative enterotoxin","putative Heat-labile enterotoxin IIB, A chain","KAF4580838.1","XP_008601493.1",3.7e-25,110,1.24e-28,121
"GQ602_006977","BBA_04017","Mannose-6-phosphate receptor, binding protein","vacuolar sorting receptor (Mrl1)","KAF4580840.1","XP_008597336.1",1.05e-141,401,8.17e-132,376
"GQ602_006978","BBA_04018","Delta(14)-sterol reductase","sterol-C14-reductase","KAF4580841.1","XP_008597337.1",0,808,0,808
"GQ602_006979","BBA_04019","beta-glucosidase 1 precursor","Cel3b-like protein","KAF4580842.1","XP_008597338.1",0,1129,0,1135
"GQ602_006983","BBA_04021","UPF0052 domain protein","UPF0052 domain-containing protein","KAF4580846.1","XP_008597340.1",0,656,0,647
"GQ602_006987","BBA_07951","hypothetical protein GQ602_006987","hypothetical protein BBA_07951","KAF4580850.1","XP_008601270.1",5.55e-12,62,3.92e-12,61.6
"GQ602_006988","BBA_04054","C6 transcription factor","C6 transcription factor","KAF4580851.1","XP_008597373.1",1.2e-71,214,1.32e-71,213
"GQ602_006989","BBA_04053","choriogenin Hminor","choriogenin Hminor","KAF4580852.1","XP_008597372.1",2.43e-104,338,8.55e-100,326
"GQ602_006990","BBA_04052","dynactin subunit","dynactin p62 family protein","KAF4580853.1","XP_008597371.1",0,563,0,546
"GQ602_006991","BBA_04051","40S ribosomal protein S7","40S ribosomal protein S7","KAF4580854.1","XP_008597370.1",3.68e-136,378,2.62e-136,378
"GQ602_006992","BBA_04002","actin cytoskeleton organization protein App1","actin patch protein","KAF4580855.1","XP_008597321.1",0,648,0,645
"GQ602_006994","BBA_08416","aminopeptidase y","peptidase family M28","KAF4580857.1","XP_008601735.1",0,546,0,562
"GQ602_006995","BBA_09285","helix-turn-helix, Psq","methyltransferase domain-containing protein","KAF4580858.1","XP_008602604.1",5.01e-139,397,1.09e-147,419
"GQ602_006996","BBA_08373","BTB/POZ-like protein","BTB/POZ domain protein","KAF4580859.1","XP_008601692.1",1.32e-115,333,2.32e-115,333
"GQ602_006998","BBA_08379","alcohol dehydrogenase","malate/L-lactate dehydrogenase","KAF4580861.1","XP_008601698.1",2.87e-174,487,8.85e-168,470
"GQ602_006999","BBA_08377","hypothetical protein GQ602_006999","acyl-coenzyme A thioesterase 13","KAF4580862.1","XP_008601696.1",2.59e-53,166,1.98e-53,166
"GQ602_007000","BBA_08381","putative high-affinity nickel transport protein nic1","Ni2+-Co2+ transporter transition metal uptake transporter","KAF4580863.1","XP_008601700.1",5.77e-126,365,4.27e-130,375
"GQ602_007004","BBA_08383","Autophagy-related protein 17","kinase activator","KAF4580867.1","XP_008601702.1",8.67e-167,478,2.84e-152,441
"GQ602_007005","BBA_04029","AAT family amino acid transporter","amino acid permease","KAF4580868.1","XP_008597348.1",0,649,0,649
"GQ602_007007","BBA_04024","hypothetical protein GQ602_007007","fungal specific transcription factor","KAF4580870.1","XP_008597343.1",0,670,0,630
"GQ602_007008","BBA_04023","putative extragenic suppressor of the bimD6 mutation","RIO1 family protein","KAF4580871.1","XP_008597342.1",0,659,0,665
"GQ602_007009","BBA_04063","aspartic proteinase","aspartic proteinase","KAF4580872.1","XP_008597382.1",1.24e-135,395,8.29e-136,395
"GQ602_007010","BBA_02921","putative glucose dehydrogenase","glucose dehydrogenase","KAF4580873.1","XP_008596240.1",0,573,0,596
"GQ602_007011","BBA_04032","catalytic protein","hydrolase, alpha/beta fold family protein","KAF4580874.1","XP_008597351.1",3.6e-96,290,4.3e-97,293
"GQ602_007012","BBA_04039","UPF0187 domain membrane protein","hypothetical protein BBA_04039","KAF4580875.1","XP_008597358.1",0,522,0,516
"GQ602_007013","BBA_04038","hypothetical protein GQ602_007013","major facilitator superfamily transporter","KAF4580876.1","XP_008597357.1",1.18e-131,384,9.03e-124,363
"GQ602_007015","BBA_04031","hypothetical protein GQ602_007015","hypothetical protein BBA_04031","KAF4580878.1","XP_008597350.1",5.02e-38,137,3.84e-38,137
"GQ602_007017","BBA_10352","kinase-like protein","protein kinase domain-containing protein","KAF4580880.1","XP_008603671.1",4.35e-16,80.1,8.63e-19,88.2
"GQ602_007021","BBA_04042","surfeit locus protein 5 subunit 22 of mediator complex domain-containing protein","hypothetical protein BBA_04042","KAF4580884.1","XP_008597361.1",1.04e-58,177,7.36e-59,177
"GQ602_007022","BBA_04043","tRNA pseudouridine synthase","tRNA pseudouridine synthase A","KAF4580885.1","XP_008597362.1",0,733,0,739
"GQ602_007024","BBA_00750","histone chaperone domain-containing protein","hypothetical protein BBA_00750","KAF4580887.1","XP_008594069.1",6.91e-23,82.4,5.06e-23,82.4
"GQ602_007028","BBA_04047","sulfur controller-2","WD domain-containing protein","KAF4580891.1","XP_008597366.1",0,870,0,862
"GQ602_007029","BBA_04049","twinfilin-1","cofilin/tropomyosin-type actin-binding protein","KAF4580892.1","XP_008597368.1",3.86e-157,442,6.22e-167,466
"GQ602_007033","BBA_04004","Calponin-like actin-binding protein","EB1-like domain-containing protein","KAF4580896.1","XP_008597323.1",2.46e-132,372,3.15e-131,369
"GQ602_007034","BBA_06453","hypothetical protein GQ602_007034","hypothetical protein BBA_06453","KAF4580897.1","XP_008599772.1",4.24e-29,99.4,2.88e-30,102
"GQ602_007035","BBA_04003","dependent RNA helicase drs-1","DEAD/DEAH box helicase","KAF4580898.1","XP_008597322.1",0,931,0,904
"GQ602_007036","BBA_00920","Preprotein translocase subunit","DnaJ domain-containing protein","KAF4580899.1","XP_008594239.1",0,1130,0,1122
"GQ602_007037","BBA_00919","Patatin-like phospholipase domain-containing protein","patatin-like phospholipase","KAF4580900.1","XP_008594238.1",0,900,0,903
"GQ602_007038","BBA_00918","Small COPII coat GTPase sar1","GTP-binding protein SAR1","KAF4580901.1","XP_008594237.1",3.2e-127,354,2.28e-127,354
"GQ602_007039","BBA_00917","GTP-binding protein SAR1","hypothetical protein BBA_00917","KAF4580902.1","XP_008594236.1",0,559,0,560
"GQ602_007040","BBA_00915","ATPase, F1 complex, delta/epsilon subunit","ATP synthase delta chain","KAF4580903.1","XP_008594234.1",5.63e-87,250,6.97e-94,268
"GQ602_007045","BBA_00912","guanine nucleotide exchange factor-like protein","hypothetical protein BBA_00912","KAF4580908.1","XP_008594231.1",3.32e-87,275,1.36e-81,261
"GQ602_007050","BBA_00921","DUF2347 superfamily protein","Protein of unknown function DUF2347","KAF4580913.1","XP_008594240.1",0,605,0,607
"GQ602_007051","BBA_00922","AtaAp protein","acyltransferase-like protein","KAF4580914.1","XP_008594241.1",9.01e-127,362,6.66e-127,362
"GQ602_007055","BBA_09795","mitochondrial cation transporter","tricarboxylate carrier","KAF4580918.1","XP_008603114.1",0,531,0,531
"GQ602_007056","BBA_09794","Dual specificity protein kinase lkh1","protein kinase (Lkh1)","KAF4580919.1","XP_008603113.1",0,878,0,869
"GQ602_007061","BBA_09786","FMN-binding split barrel","nitrilotriacetate monooxygenase component B","KAF4580924.1","XP_008603105.1",1.05e-97,289,1.26e-97,289
"GQ602_007062","BBA_03998","Cyclic-AMP phosphodiesterase, class-II","cAMP phosphodiesterase class-II","KAF4580925.1","XP_008597317.1",0,611,0,572
"GQ602_007064","BBA_04000","AMP-binding domain-containing protein","acyl-CoA ligase","KAF4580927.1","XP_008597319.1",0,2736,0,2714
"GQ602_007067","BBA_02782","Glycoside hydrolase, family 31","glycoside hydrolase family 31","KAF4580930.1","XP_008596101.1",0,944,0,944
"GQ602_007069","BBA_08408","vacuolar H+/Ca2+ exchanger","hypothetical protein BBA_08408","KAF4580932.1","XP_008601727.1",2.33e-111,340,2.28e-106,327
"GQ602_007071","BBA_08410","peptidyl-prolyl cis/trans isomerase","ppic-type ppiase domain-containing protein","KAF4580934.1","XP_008601729.1",7.34e-99,281,5.58e-99,281
"GQ602_007073","BBA_08412","50S ribosomal protein L14","ribosomal protein L14","KAF4580936.1","XP_008601731.1",2.36e-65,193,1.7e-65,193
"GQ602_007074","BBA_08413","Histone-lysine N-methyltransferase SET9","histone-lysine N-methyltransferase set9","KAF4580937.1","XP_008601732.1",0,588,0,587
"GQ602_007075","BBA_06028","hypothetical protein GQ602_007075","hypothetical protein BBA_06028","KAF4580938.1","XP_008599347.1",8.39e-13,65.5,4.88e-13,65.5
"GQ602_007076","BBA_04010","NADP-dependent alcohol dehydrogenase-like protein","hypothetical protein BBA_04010","KAF4580939.1","XP_008597329.1",3.39e-54,168,3.56e-50,157
"GQ602_007077","BBA_04011","WD40 repeat-like-containing domain protein","WD domain-containing protein","KAF4580940.1","XP_008597330.1",0,779,0,783
"GQ602_007078","BBA_04013","putative beta-1,3 exoglucanase precursor","glycoside hydrolase family 55","KAF4580941.1","XP_008597332.1",0,937,0,971
"GQ602_007080","BBA_08397","cystathionine beta-synthase","cystathionine beta-synthase","KAF4580943.1","XP_008601716.1",0,831,0,797
"GQ602_007081","BBA_08398","Signal recognition particle receptor, beta subunit","signal recognition particle receptor beta subunit","KAF4580944.1","XP_008601717.1",9.71e-96,283,1.81e-111,322
"GQ602_007082","BBA_08400","Palmitoyltransferase AKR1","palmitoyltransferase AKR1","KAF4580945.1","XP_008601719.1",0,1046,0,1045
"GQ602_007083","BBA_04006","proline-rich protein RiP-15","trans-sialidase-like protein","KAF4580946.1","XP_008597325.1",7.79e-153,455,0,705
"GQ602_007084","BBA_04005","Vacuolar morphogenesis protein 7 like protein","PX domain-containing protein","KAF4580947.1","XP_008597324.1",5.28e-151,428,2.28e-156,442
"GQ602_007086","BBA_08848","NACHT domain protein","Ankyrin repeat protein","KAF4580949.1","XP_008602167.1",2.01e-141,462,1.77e-141,461
"GQ602_007090","BBA_00906","tRNA exportin","exportin 1-like protein","KAF4580953.1","XP_008594225.1",0,1486,0,1483
"GQ602_007092","BBA_00904","Tetratricopeptide-like helical","filamentation protein","KAF4580955.1","XP_008594223.1",0,1174,0,1146
"GQ602_007093","BBA_00903","Pre-rRNA-processing protein rix1","ribosome biogenesis protein Rix1","KAF4580956.1","XP_008594222.1",0,634,0,623
"GQ602_007094","BBA_00902","WW domain-containing protein C2F3.14c","WW domain-containing protein","KAF4580957.1","XP_008594221.1",4.8e-63,199,5.16e-75,229
"GQ602_007095","BBA_00899","MEAB protein","MeaB protein","KAF4580958.1","XP_008594218.1",2.71e-106,315,8.06e-108,318
"GQ602_007096","BBA_00900","erythromycin esterase","hypothetical protein BBA_00900","KAF4580959.1","XP_008594219.1",6.66e-95,307,8.37e-99,317
"GQ602_007098","BBA_00901","elicitor protein","elicitor protein","KAF4580961.1","XP_008594220.1",7.15e-84,256,1.06e-84,258
"GQ602_007099","BBA_01927","3-isopropylmalate dehydrogenase","3-isopropylmalate dehydrogenase","KAF4580962.1","XP_008595246.1",2.53e-159,447,4.33e-172,479
"GQ602_007100","BBA_01926","PHD finger domain protein","PHD-finger domain-containing protein","KAF4580963.1","XP_008595245.1",1.94e-127,392,4e-130,399
"GQ602_007101","BBA_01925","Meiotic expression up-regulated protein 26","putative C2H2 zinc finger protein","KAF4580964.1","XP_008595244.1",8.64e-164,482,3.63e-170,498
"GQ602_007102","BBA_01924","hypothetical protein GQ602_007102","hypothetical protein BBA_01924","KAF4580965.1","XP_008595243.1",1.74e-12,64.3,1.5e-14,70.1
"GQ602_007103","BBA_01922","Actin-like protein","Actin-like protein, ARP8 class","KAF4580966.1","XP_008595241.1",0,1188,0,1202
"GQ602_007104","BBA_01921","Major facilitator superfamily domain, general substrate transporter","major facilitator superfamily transporter","KAF4580967.1","XP_008595240.1",0,706,0,753
"GQ602_007107","BBA_01222","Mediator of RNA polymerase II transcription subunit 10","transcription factor subunit Med10","KAF4580970.1","XP_008594541.1",1.48e-44,143,1.24e-36,122
"GQ602_007108","BBA_01223","DNAJ domain containing protein","tetratricopeptide-like protein","KAF4580971.1","XP_008594542.1",0,767,0,736
"GQ602_007109","BBA_01224","EF-hand-like domain protein","EF hand domain containing protein","KAF4580972.1","XP_008594543.1",3.62e-91,273,2.32e-91,273
"GQ602_007110","BBA_01225","spindle pole body interacting protein","Spindle pole body interacting protein","KAF4580973.1","XP_008594544.1",0,964,0,1167
"GQ602_007113","BBA_01229","Transcription factor IIIA","C2H2 transcription factor (TFIIIA), putative","KAF4580976.1","XP_008594548.1",2.32e-161,466,1.04e-161,467
"GQ602_007114","BBA_01230","vacuolar Zn-iron permease","ZIP Zinc transporter","KAF4580977.1","XP_008594549.1",0,596,0,575
"GQ602_007115","BBA_01911","Mitochondrial nuclease","DNA/RNA non-specific endonuclease","KAF4580978.1","XP_008595230.1",0,511,8.23e-179,498
"GQ602_007116","BBA_10137","protein PFS2","protein PFS2","KAF4580979.1","XP_008603456.1",0,874,0,819
"GQ602_007118","BBA_01914","diacylglycerol O-acyltransferase","MBOAT family protein","KAF4580981.1","XP_008595233.1",0,681,0,655
"GQ602_007119","BBA_01915","protein-S-isoprenylcysteine O-methyltransferase","isoprenylcysteine carboxyl methyltransferase","KAF4580982.1","XP_008595234.1",1.93e-93,275,1.04e-93,276
"GQ602_007120","BBA_01916","Transmembrane protein 170","hypothetical protein BBA_01916","KAF4580983.1","XP_008595235.1",6.79e-54,165,4.75e-54,165
"GQ602_007121","BBA_01917","peroxisomal membrane protein Pex17","peroxin 8","KAF4580984.1","XP_008595236.1",0,679,0,657
"GQ602_007124","BBA_01919","phosphatidyl inositol-specific phospholipase C","phosphatidylinositol-specific phospholipase C","KAF4580987.1","XP_008595238.1",0,597,0,597
"GQ602_007126","BBA_01793","kelch repeats protein","kelch domain-containing protein","KAF4580989.1","XP_008595112.1",0,987,0,970
"GQ602_007127","BBA_01795","Peptidase C15, pyroglutamyl peptidase I-like protein","pyroglutamyl peptidase type I","KAF4580990.1","XP_008595114.1",3.8e-70,214,6.25e-71,216
"GQ602_007128","BBA_01796","2-deoxyglucose-6-phosphate phosphatase","haloacid dehalogenase-like hydrolase","KAF4580991.1","XP_008595115.1",3.49e-109,312,2.52e-109,312
"GQ602_007129","BBA_01180","Homeodomain-like protein","homeobox domain-containing protein","KAF4580992.1","XP_008594499.1",5.25e-55,190,1.67e-49,175
"GQ602_007130","BBA_01179","DNA replication regulator Sld3","hypothetical protein BBA_01179","KAF4580993.1","XP_008594498.1",6.94e-165,505,2.18e-165,506
"GQ602_007131","BBA_01178","TRAPP trafficking subunit trs65 domain-containing protein","hypothetical protein BBA_01178","KAF4580994.1","XP_008594497.1",7.61e-112,347,2.51e-111,345
"GQ602_007132","BBA_01177","pre-mRNA-processing protein prp40","FF domain-containing protein","KAF4580995.1","XP_008594496.1",0,633,0,688
"GQ602_007133","BBA_01174","myo-inositol-1(or 4)-monophosphatase","myo-inositol-1(or 4)-monophosphatase","KAF4580996.1","XP_008594493.1",2.76e-84,258,4.36e-79,244
"GQ602_007134","BBA_01175","Chromo domain-containing protein 1","SNF2 family chromodomain-helicase DNA-binding protein","KAF4580997.1","XP_008594494.1",0,2086,0,2117
"GQ602_007135","BBA_01176","Translation initiation factor RLI1","ABC transporter","KAF4580998.1","XP_008594495.1",0,1146,0,1146
"GQ602_007136","BBA_01173","ATPase, AAA-type, core","ATPase protein","KAF4580999.1","XP_008594492.1",0,1467,0,1442
"GQ602_007137","BBA_01172","DNA replication licensing factor mcm7","MCM2/3/5 family protein","KAF4581000.1","XP_008594491.1",0,1249,0,1238
"GQ602_007138","BBA_01171","ribosomal protein DAP3","37S ribosomal protein S23","KAF4581001.1","XP_008594490.1",3.42e-132,389,3.35e-125,370
"GQ602_007139","BBA_01170","Regulator of ribosome biosynthesis","ribosome biogenesis regulatory protein","KAF4581002.1","XP_008594489.1",3.92e-85,248,8.95e-85,247
"GQ602_007140","BBA_01169","RhoGAP domain containing protein","RhoGAP domain-containing protein","KAF4581003.1","XP_008594488.1",0,627,0,596
"GQ602_007141","BBA_01167","geranylgeranyltransferase beta subunit","geranylgeranyltransferase beta subunit","KAF4581004.1","XP_008594486.1",1.14e-174,486,9.66e-175,485
"GQ602_007143","BBA_01165","DNA mismatch repair protein MSH3","MutS domain V","KAF4581006.1","XP_008594484.1",0,1480,0,1477
"GQ602_007144","BBA_01164","Fso1-like protein","Fso1-like protein","KAF4581007.1","XP_008594483.1",0,1682,0,1702
"GQ602_007145","BBA_01163","phosphomannomutase","phosphomannomutase-like protein","KAF4581008.1","XP_008594482.1",4.22e-148,413,3.03e-148,413
"GQ602_007146","BBA_01212","Ca2+ transporter","sodium/calcium exchanger protein","KAF4581009.1","XP_008594531.1",0,814,0,796
"GQ602_007147","BBA_01213","condensin complex component cnd2","condensin complex component cnd2","KAF4581010.1","XP_008594532.1",0,742,0,717
"GQ602_007148","BBA_01214","high-mobility group 20A","HMG box protein","KAF4581011.1","XP_008594533.1",3.75e-143,419,4.33e-138,406
"GQ602_007150","BBA_01218","histidine kinase 1","putative histidine kinase NIK1p","KAF4581013.1","XP_008594537.1",0,2221,0,2211
"GQ602_007151","BBA_06018","C2 domain containing protein","C2 domain containing protein","KAF4581014.1","XP_008599337.1",0,1852,0,1838
"GQ602_007152","BBA_06017","centaurin beta","PH domain-containing protein","KAF4581015.1","XP_008599336.1",0,1518,0,1533
"GQ602_007153","BBA_06016","CAMK/RAD53 protein kinase","checkpoint kinase 2","KAF4581016.1","XP_008599335.1",0,929,0,916
"GQ602_007154","BBA_06015","Eukaryotic translation initiation factor 3 subunit M","PCI domain-containing protein","KAF4581017.1","XP_008599334.1",0,684,0,658
"GQ602_007155","BBA_00973","Uridylate kinase","UMP-CMP kinase","KAF4581018.1","XP_008594292.1",6.15e-124,356,4.36e-124,356
"GQ602_007156","BBA_00443","serine protease","cuticle-degrading protease bassiasin I precursor","KAF4581019.1","XP_008593762.1",1.78e-154,437,9.78e-150,425
"GQ602_007158","BBA_01002","succinate dehydrogenase flavoprotein subunit","succinate dehydrogenase flavoprotein subunit","KAF4581021.1","XP_008594321.1",0,1170,0,1192
"GQ602_007159","BBA_06545","b protein","hypothetical protein BBA_06545","KAF4581022.1","XP_008599864.1",7.69e-44,135,5.62e-44,135
"GQ602_007161","BBA_06547","vacuolar protein sorting-associated protein 9a","vacuolar protein sorting-associated protein","KAF4581024.1","XP_008599866.1",0,743,0,712
"GQ602_007162","BBA_06548","Transient receptor potential (TRP) domain containing protein","transient receptor potential (TRP) ion channel","KAF4581025.1","XP_008599867.1",0,738,0,694
"GQ602_007163","BBA_06549","C2H2 finger domain-containing protein","C2H2 finger domain-containing protein","KAF4581026.1","XP_008599868.1",0,663,0,682
"GQ602_007164","BBA_06550","hypothetical protein GQ602_007164","hypothetical protein BBA_06550","KAF4581027.1","XP_008599869.1",2.36e-59,178,4.27e-70,205
"GQ602_007165","BBA_06552","Fungal Zn binuclear cluster domain containing protein","C6 finger domain protein","KAF4581028.1","XP_008599871.1",1.35e-32,126,5.36e-32,124
"GQ602_007166","BBA_07464","hypothetical protein GQ602_007166","hypothetical protein BBA_07464","KAF4581029.1","XP_008600783.1",4.92e-33,125,3.39e-33,125
"GQ602_007167","BBA_06553","Protein phosphatase methylesterase 1","protein phosphatase methylesterase 1","KAF4581030.1","XP_008599872.1",0,533,0,533
"GQ602_007169","BBA_06531","cell wall protein","CFEM domain-containing protein","KAF4581032.1","XP_008599850.1",4.38e-22,85.5,2.47e-24,90.9
"GQ602_007170","BBA_06541","ribulose-phosphate 3-epimerase","ribulose-phosphate 3-epimerase","KAF4581033.1","XP_008599860.1",2.83e-144,402,1.98e-144,402
"GQ602_007171","BBA_06530","Pyridoxal phosphate-dependent transferase, major domain protein","aminotransferase class-V","KAF4581034.1","XP_008599849.1",1.45e-162,462,3.55e-161,459
"GQ602_007172","BBA_06525","Prolyl 3,4-dihydroxylase ofd1","oxidoreductase, 2OG-Fe(II) oxygenase family protein","KAF4581035.1","XP_008599844.1",0,783,0,806
"GQ602_007173","BBA_06524","hypothetical protein GQ602_007173","hypothetical protein BBA_06524","KAF4581036.1","XP_008599843.1",1.72e-90,275,9.62e-92,278
"GQ602_007174","BBA_06523","RNAPII degradation factor Def1","rnapii degradation factor def1","KAF4581037.1","XP_008599842.1",0,725,0,675
"GQ602_007175","BBA_07103","ATPase, P-type, phospholipid-translocating, flippase","phospholipid-translocating P-type ATPase","KAF4581038.1","XP_008600422.1",0,1743,0,1741
"GQ602_007177","BBA_07104","transcription initiation protein","transcription factor TFIIB","KAF4581040.1","XP_008600423.1",0,646,0,646
"GQ602_007178","BBA_07105","anthranilate phosphoribosyltransferase","glycosyl transferase family protein","KAF4581041.1","XP_008600424.1",0,572,0,584
"GQ602_007179","BBA_07106","CAIB/BAIF family enzyme","CoA-transferase family III","KAF4581042.1","XP_008600425.1",0,637,0,622
"GQ602_007182","BBA_07113","asparagine synthase-like protein","asparagine synthase","KAF4581045.1","XP_008600432.1",0,585,0,585
"GQ602_007184","BBA_00050","zinc finger transcription factor ace1","Cys2-His2 zinc finger transcription factor ACEI","KAF4581047.1","XP_008593369.1",0,606,0,612
"GQ602_007185","BBA_00052","glycosyltransferase family 69 protein","polysaccharide export protein (CAP59)","KAF4581048.1","XP_008593371.1",0,563,0,559
"GQ602_007187","BBA_00053","Dolichyl-phosphate-mannose--protein mannosyltransferase 4","glycosyltransferase family 39","KAF4581050.1","XP_008593372.1",0,1216,0,1226
"GQ602_007188","BBA_00054","protein HMF1","endoribonuclease L-PSP","KAF4581051.1","XP_008593373.1",6.12e-63,186,4.34e-63,186
"GQ602_007189","BBA_00055","ARP2/3 actin-organizing complex subunit Sop2","ARP2/3 actin-organizing complex subunit Sop2","KAF4581052.1","XP_008593374.1",0,666,0,666
"GQ602_007190","BBA_00597","Nucleotide-binding, alpha-beta plait","RNA recognition domain-containing protein","KAF4581053.1","XP_008593916.1",3.4e-78,231,1.31e-82,242
"GQ602_007191","BBA_00596","autophagy-like protein 3","Autophagy-like protein 3","KAF4581054.1","XP_008593915.1",5.01e-93,271,3.64e-93,271
"GQ602_007192","BBA_00595","Mannosyl-oligosaccharide 1,2-alpha-mannosidase","glycosyl hydrolase family 47","KAF4581055.1","XP_008593914.1",0,921,0,926
"GQ602_007193","BBA_00593","NTF2-like protein","hypothetical protein BBA_00593","KAF4581056.1","XP_008593912.1",0,607,0,591
"GQ602_007194","BBA_00592","vacuolar sorting protein","vacuolar protein sorting/targeting protein PEP1","KAF4581057.1","XP_008593911.1",0,1993,0,2022
"GQ602_007195","BBA_00591","proteinrelated to Gim complex component GIM4","mucin-like protein","KAF4581058.1","XP_008593910.1",6.17e-63,207,5.84e-70,225
"GQ602_007197","BBA_00588","Mediator of RNA polymerase II transcription subunit 16","RNA polymerase II Mediator complex subunit Sin4","KAF4581060.1","XP_008593907.1",0,1052,0,1034
"GQ602_007198","BBA_00587","intracellular protein transport-like protein","intracellular protein transport protein","KAF4581061.1","XP_008593906.1",0,942,0,914
